"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","120","0.0-0.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","24600","0.0-1.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","[{""page_index"":0,""viewing_time"":24478}]","24479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","25589","0.0-2.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","1536","747","true","chrome","115.0.0","false","Windows 10","true","60.86","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","41602","0.0-3.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","15951","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","44066","0.0-4.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","1947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","53000","0.0-5.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","8926","","","","","","","","","","","","","{""prolificID"":""571cea664ca277001153c045""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","53981","0.0-6.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","1536","747","true","chrome","115.0.0","false","Windows 10","true","61.42","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","101925","0.0-7.0-0.0-0.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","[{""page_index"":0,""viewing_time"":28121},{""page_index"":1,""viewing_time"":9978},{""page_index"":2,""viewing_time"":6313},{""page_index"":3,""viewing_time"":3531}]","47943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","109037","0.0-7.0-0.0-1.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","","","","","","","","","","","","","","574.0099888484925","347.0004721290013","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","109037","0.0-7.0-0.0-1.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","111079","0.0-7.0-0.0-2.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","2039","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","114084","0.0-7.0-0.0-3.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","117818","0.0-7.0-0.0-4.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","","","","","","","","","","","","","","","","","","","","","","360.00002774163136","319.00999996152","3731.7999999523163","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","117818","0.0-7.0-0.0-4.0","571cea664ca277001153c045","64d3ef96556dbe1f0e02b5aa","64da90a6688be4e4d3f110d7","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","360.00002774163136","319.00999996152","3731.7999999523163","500","300","","","","","","","","","","",""
