"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","83","0.0-0.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","25692","0.0-1.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","[{""page_index"":0,""viewing_time"":25608}]","25609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","26686","0.0-2.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","1745","846","true","chrome","115.0.0","false","Windows 10","true","60.59","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","42130","0.0-3.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","15383","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","48643","0.0-4.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","6011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","52327","0.0-5.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","3681","","","","","","","","","","","","","{""prolificID"":""576ad50bc8a90000010d99c8""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","53320","0.0-6.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","1745","982","true","chrome","115.0.0","false","Windows 10","true","60.45","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","104493","0.0-7.0-0.0-0.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","[{""page_index"":0,""viewing_time"":18163},{""page_index"":1,""viewing_time"":12708},{""page_index"":2,""viewing_time"":10164},{""page_index"":3,""viewing_time"":10136}]","51172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","118638","0.0-7.0-0.0-1.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","548.0000000030337","351.01","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","118638","0.0-7.0-0.0-1.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","123577","0.0-7.0-0.0-2.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","4936","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","126581","0.0-7.0-0.0-3.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","130182","0.0-7.0-0.0-4.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","","","","","","","357.0059129463687","355.99193544389067","3600.199999988079","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","130182","0.0-7.0-0.0-4.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","357.0059129463687","355.99193544389067","3600.199999988079","500","300","","","","","","","","","","",""
"","","","","","html-button-response","12","135360","0.0-7.0-0.0-5.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","5177","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","145371","0.0-7.0-1.0-0.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","10009","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","14","150754","0.0-7.0-1.0-1.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","5381","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","15","153960","0.0-7.0-1.0-2.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","3204","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","instructions","16","161480","0.0-8.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","[{""page_index"":0,""viewing_time"":7517}]","7517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","164486","0.0-9.0-0.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","60.00239999999962","604.4000000000001","650.0211431702996","404.58000000000004","11","1","","",""
"","","","","","html-keyboard-response","18","167934","0.0-9.0-1.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","","","","","","","295.01","365.9999999780083","3447.099999964237","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","167934","0.0-9.0-1.0","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","reconstruct","","","","","","295.01","365.9999999780083","3447.099999964237","","","","","","","","","","1","3","500","250"
"","","","","","html-keyboard-response","19","170937","0.0-9.0-0.1","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","62.012173000001376","500","479.92114317029973","330.87","6","2","","",""
"","","","","","html-keyboard-response","20","173854","0.0-9.0-1.1","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","","","","","","","535.0009027271844","333.9900408291695","2916.199999988079","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","173854","0.0-9.0-1.1","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","","","","","","","","","","","","","","","","","reconstruct","","","","","","535.0009027271844","333.9900408291695","2916.199999988079","","","","","","","","","","2","3","500","250"
"","","","","","html-keyboard-response","21","176857","0.0-9.0-0.2","576ad50bc8a90000010d99c8","64d3ef96556dbe1f0e02b5aa","64db812c9b3a799113a8f7d6","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.99747200000082","322.3","356.42114317029973","357.87","4","3","","",""
