"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","452","0.0-0.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","9713","0.0-1.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","[{""page_index"":0,""viewing_time"":9259}]","9259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","10128","0.0-2.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","","1920","963","true","chrome","115.0.0","false","Windows 10","true","145.88","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","14287","0.0-3.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","4072","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","20933","0.0-4.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","6143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","27465","0.0-5.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","6525","","","","","","","","","","","","","{""prolificID"":""5b33034d975e260001e981c9""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","27877","0.0-6.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","","1920","1080","true","chrome","115.0.0","false","Windows 10","true","146.02","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","69922","0.0-7.0-0.0-0.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","[{""page_index"":0,""viewing_time"":19266},{""page_index"":1,""viewing_time"":8440},{""page_index"":2,""viewing_time"":5803},{""page_index"":3,""viewing_time"":8536}]","42044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","77115","0.0-7.0-0.0-1.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","","","","","","","","","","","","","","","516.9999977635125","404.9900000002501","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","77115","0.0-7.0-0.0-1.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","83738","0.0-7.0-0.0-2.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","6621","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","86744","0.0-7.0-0.0-3.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","90259","0.0-7.0-0.0-4.0","5b33034d975e260001e981c9","64d3ef96556dbe1f0e02b5aa","64da90b0cdf0e4e6d89333a4","","","","","","","","","","","","","","","","","","","","","","","","391.0071257304748","288.99298402072407","3513","","","","","","","","","","","","",""
