"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","108","0.0-0.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1694","0.0-1.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","[{""page_index"":0,""viewing_time"":1586}]","1586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","2688","0.0-2.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","","1902","904","true","chrome","115.0.0","false","Windows 10","true","60.6","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","5638","0.0-3.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","2894","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","8435","0.0-4.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","2295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","23335","0.0-5.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","14895","","","","","","","","","","","","","{""prolificID"":""5ee3c01c7247c006e9a3f4fd""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","24344","0.0-6.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","","1902","904","true","chrome","115.0.0","false","Windows 10","true","59.86","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","84310","0.0-7.0-0.0-0.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","[{""page_index"":0,""viewing_time"":18182},{""page_index"":1,""viewing_time"":16880},{""page_index"":2,""viewing_time"":12224},{""page_index"":3,""viewing_time"":12680}]","59966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","91462","0.0-7.0-0.0-1.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","","","","","","","","","","","","","","","517.0071296704916","341.0070119753765","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","91462","0.0-7.0-0.0-1.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","95702","0.0-7.0-0.0-2.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","4238","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","98720","0.0-7.0-0.0-3.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","103454","0.0-7.0-0.0-4.0","5ee3c01c7247c006e9a3f4fd","64d3ef96556dbe1f0e02b5aa","64db813196ed0059498bcdd9","","","","","","","","","","","","","","","","","","","","","","","","368.009999999994","342.9999996541479","4732.099999964237","","","","","","","","","","","","",""
