"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","25","0.0-0.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","19141","0.0-1.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","[{""page_index"":0,""viewing_time"":19116}]","19116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","20143","0.0-2.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","1440","783","true","chrome","115.0.0","false","Mac OS","true","60.46","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","22271","0.0-3.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","2054","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","24780","0.0-4.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","29123","0.0-5.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","4338","","","","","","","","","","","","","{""prolificID"":""5f29aed2c46fc6118f5980c3""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","30122","0.0-6.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","1440","900","true","chrome","115.0.0","false","Mac OS","true","60.21","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","65684","0.0-7.0-0.0-0.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","[{""page_index"":0,""viewing_time"":17870},{""page_index"":1,""viewing_time"":3346},{""page_index"":2,""viewing_time"":7058},{""page_index"":3,""viewing_time"":7287}]","35562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","74511","0.0-7.0-0.0-1.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","214.00821054695078","326.0057084953157","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","74512","0.0-7.0-0.0-1.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","77071","0.0-7.0-0.0-2.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","2558","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","80080","0.0-7.0-0.0-3.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","83546","0.0-7.0-0.0-4.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","","","","","","","386.9900004999625","335.00009999500185","3464.6999999955297","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","83547","0.0-7.0-0.0-4.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","386.9900004999625","335.00009999500185","3464.6999999955297","500","300","","","","","","","","","","",""
"","","","","","html-button-response","12","85348","0.0-7.0-0.0-5.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","1799","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","93647","0.0-7.0-1.0-0.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","8297","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","14","96857","0.0-7.0-1.0-1.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","3205","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","15","99934","0.0-7.0-1.0-2.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","3071","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","instructions","16","104380","0.0-8.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","[{""page_index"":0,""viewing_time"":4439}]","4439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","107404","0.0-9.0-0.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","62.01418600000023","604.4000000000001","596.8711431702998","394.5","10","1","","",""
"","","","","","html-keyboard-response","18","110559","0.0-9.0-1.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","","","","","","","377.009999058186","276.9998627579034","3154.2999999970198","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","110559","0.0-9.0-1.0","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","reconstruct","","","","","","377.009999058186","276.9998627579034","3154.2999999970198","","","","","","","","","","1","4","500","350"
"","","","","","html-keyboard-response","19","113570","0.0-9.0-0.1","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","62.01418600000023","322.3","308.07114317029976","253.89","2","2","","",""
"","","","","","html-keyboard-response","20","117266","0.0-9.0-1.1","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","","","","","","","674.9900000002502","259.999997763086","3695.10000000149","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","117266","0.0-9.0-1.1","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","reconstruct","","","","","","674.9900000002502","259.999997763086","3695.10000000149","","","","","","","","","","2","6","625","350"
"","","","","","html-keyboard-response","21","120276","0.0-9.0-0.2","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","60.30563999999983","322.3","296.07114317029976","371.46","3","3","","",""
"","","","","","html-keyboard-response","22","123692","0.0-9.0-1.2","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","","","","","","","360.9999999753291","313.99","3415.5","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","123692","0.0-9.0-1.2","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","reconstruct","","","","","","360.9999999753291","313.99","3415.5","","","","","","","","","","3","1","375","250"
"","","","","","html-keyboard-response","23","126710","0.0-9.0-0.3","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","62.01418600000023","322.3","356.42114317029973","357.87","4","4","","",""
"","","","","","html-keyboard-response","24","129462","0.0-9.0-1.3","5f29aed2c46fc6118f5980c3","64d3ef96556dbe1f0e02b5aa","64db856a31660480e1ac2256","","","","","","","","","","","","","","","","","","","","","","","","652.9999936743397","264.0099999979993","2751.7000000029802","","","","","","","","","","","","",""
