"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","85","0.0-0.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","10457","0.0-1.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","[{""page_index"":0,""viewing_time"":10372}]","10372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","11737","0.0-2.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","1449","860","true","edge-chromium","115.0.1901","false","Windows 10","true","60.37","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","13932","0.0-3.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","2149","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","15435","0.0-4.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","1001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","17753","0.0-5.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","2307","","","","","","","","","","","","","{""prolificID"":""6107720cff13015082b48f4a""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","18780","0.0-6.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","1504","1003","true","edge-chromium","115.0.1901","false","Windows 10","true","58.93","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","24242","0.0-7.0-0.0-0.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","[{""page_index"":0,""viewing_time"":1186},{""page_index"":1,""viewing_time"":640},{""page_index"":2,""viewing_time"":1516},{""page_index"":3,""viewing_time"":2120}]","5462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","27402","0.0-7.0-0.0-1.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","","","","","","","","","","","","","","377.995452128091","166.00890600140912","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","27402","0.0-7.0-0.0-1.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","28648","0.0-7.0-0.0-2.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","1245","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","31652","0.0-7.0-0.0-3.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","33821","0.0-7.0-0.0-4.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","","","","","","","","","","","","","","","","","","","","","","405.00312953341484","397.99050231498705","2166.1000000089407","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","33821","0.0-7.0-0.0-4.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","405.00312953341484","397.99050231498705","2166.1000000089407","500","300","","","","","","","","","","",""
"","","","","","html-button-response","12","35118","0.0-7.0-0.0-5.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","1296","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","37707","0.0-7.0-1.0-0.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","2586","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","14","40187","0.0-7.0-1.0-1.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","2470","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","15","41875","0.0-7.0-1.0-2.0","6107720cff13015082b48f4a","64d3ef96556dbe1f0e02b5aa","64db8285611258ee3f26b545","","1683","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
