"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","262","0.0-0.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","49964","0.0-1.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","[{""page_index"":0,""viewing_time"":49700}]","49701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","50953","0.0-2.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","","1280","603","true","chrome","115.0.0","false","Windows 10","true","61.07","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","55225","0.0-3.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","3676","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","57404","0.0-4.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","1671","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","60151","0.0-5.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","2736","","","","","","","","","","","","","{""prolificID"":""6138de7da0cd911868bd8d03""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","61151","0.0-6.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","","1280","720","true","chrome","115.0.0","false","Windows 10","true","60.19","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","99500","0.0-7.0-0.0-0.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","[{""page_index"":0,""viewing_time"":11921},{""page_index"":1,""viewing_time"":9404},{""page_index"":2,""viewing_time"":9035},{""page_index"":3,""viewing_time"":7989}]","38349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","107736","0.0-7.0-0.0-1.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","","","","","","","","","","","","","","","678.0099991051381","380.0001337775609","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","107736","0.0-7.0-0.0-1.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","112270","0.0-7.0-0.0-2.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","4528","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","115279","0.0-7.0-0.0-3.0","6138de7da0cd911868bd8d03","64d3ef96556dbe1f0e02b5aa","64db812d56e617fea9e6c159","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
