"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","817","0.0-0.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","8091","0.0-1.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","[{""page_index"":0,""viewing_time"":7271}]","7271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","9084","0.0-2.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","1280","609","true","chrome","114.0.0","false","Windows 10","true","60.79","false","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","13761","0.0-3.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","4425","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","16830","0.0-4.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","2562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","19503","0.0-5.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","2659","","","","","","","","","","","","","{""prolificID"":""62c97585c81636f2f16fbbb0""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","20496","0.0-6.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","1280","720","true","chrome","114.0.0","false","Windows 10","true","60.56","false","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","68589","0.0-7.0-0.0-0.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","[{""page_index"":0,""viewing_time"":22044},{""page_index"":1,""viewing_time"":8130},{""page_index"":2,""viewing_time"":9118},{""page_index"":3,""viewing_time"":8800}]","48092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","84679","0.0-7.0-0.0-1.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","504.0037443084103","566.0092725485263","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","84679","0.0-7.0-0.0-1.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","89383","0.0-7.0-0.0-2.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","4700","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","92397","0.0-7.0-0.0-3.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","96197","0.0-7.0-0.0-4.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","368.0099999997865","390.0000020665475","3798","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","96197","0.0-7.0-0.0-4.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","368.0099999997865","390.0000020665475","3798","500","300","","","","","","","","","","",""
"","","","","","html-button-response","12","102073","0.0-7.0-0.0-5.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","5873","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","114719","0.0-7.0-1.0-0.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","12643","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","14","119302","0.0-7.0-1.0-1.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","4580","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","15","123656","0.0-7.0-1.0-2.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","4351","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","instructions","16","130085","0.0-8.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","[{""page_index"":0,""viewing_time"":6424}]","6424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","133100","0.0-9.0-0.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.95867600000002","500","453.67114317029973","210.33","5","1","","",""
"","","","","","html-keyboard-response","18","136151","0.0-9.0-1.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","540.9910469618754","312.9955454396019","3049.800000011921","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","136151","0.0-9.0-1.0","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct","","","","","","540.9910469618754","312.9955454396019","3049.800000011921","","","","","","","","","","1","3","500","250"
"","","","","","html-keyboard-response","19","139157","0.0-9.0-0.1","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.97520699999962","322.3","308.07114317029976","253.89","2","2","","",""
"","","","","","html-keyboard-response","20","143474","0.0-9.0-1.1","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","313.0024256440932","245.9902986469638","4316.600000008941","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","143474","0.0-9.0-1.1","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct","","","","","","313.0024256440932","245.9902986469638","4316.600000008941","","","","","","","","","","2","2","375","350"
"","","","","","html-keyboard-response","21","146484","0.0-9.0-0.2","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.962214000000294","322.3","308.07114317029976","253.89","2","3","","",""
"","","","","","html-keyboard-response","22","150962","0.0-9.0-1.2","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","650.9999000145435","266.99000049986705","4476.4000000059605","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","150962","0.0-9.0-1.2","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct","","","","","","650.9999000145435","266.99000049986705","4476.4000000059605","","","","","","","","","","3","6","625","350"
"","","","","","html-keyboard-response","23","153965","0.0-9.0-0.3","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.96477599999949","322.3","296.07114317029976","371.46","3","4","","",""
"","","","","","html-keyboard-response","24","157381","0.0-9.0-1.3","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","326.99956543701205","315.99000944671155","3415.7000000029802","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","157381","0.0-9.0-1.3","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct","","","","","","326.99956543701205","315.99000944671155","3415.7000000029802","","","","","","","","","","4","1","375","250"
"","","","","","html-keyboard-response","25","160386","0.0-9.0-0.4","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.96538600000006","500","479.92114317029973","330.87","6","5","","",""
"","","","","","html-keyboard-response","26","163352","0.0-9.0-1.4","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","487.00009600484003","297.99000046085706","2965.1000000089407","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","163352","0.0-9.0-1.4","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct","","","","","","487.00009600484003","297.99000046085706","2965.1000000089407","","","","","","","","","","5","6","625","350"
"","","","","","html-keyboard-response","27","166355","0.0-9.0-0.5","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","61.96288500000021","604.4000000000001","575.4211431702997","266.76","12","6","","",""
"","","","","","html-keyboard-response","28","169400","0.0-9.0-1.5","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","","","","","","","400.0097530679693","297.9977914563201","3043.5","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","169400","0.0-9.0-1.5","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","","","","","","","","","","","","","","","","","reconstruct","","","","","","400.0097530679693","297.9977914563201","3043.5","","","","","","","","","","6","4","500","350"
"","","","","","html-keyboard-response","29","172417","0.0-9.0-0.6","62c97585c81636f2f16fbbb0","64d3ef96556dbe1f0e02b5aa","64db8191c4b5aba85647b20a","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","61.98014799999996","500","510.8711431702997","369.03","8","7","","",""
