"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","62","0.0-0.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","21113","0.0-1.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","[{""page_index"":0,""viewing_time"":21050}]","21050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","22603","0.0-2.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","","1920","923","true","chrome","115.0.0","false","Windows 10","true","60.81","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","81240","0.0-3.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","58565","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","94758","0.0-4.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","13010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","101133","0.0-5.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","6370","","","","","","","","","","","","","{""prolificID"":""639cc81017566d4a414d09db""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","102155","0.0-6.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","","1920","1080","true","chrome","115.0.0","false","Windows 10","true","60.11","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","173597","0.0-7.0-0.0-0.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","[{""page_index"":0,""viewing_time"":28290},{""page_index"":1,""viewing_time"":15157},{""page_index"":2,""viewing_time"":18591},{""page_index"":3,""viewing_time"":9403}]","71442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","187759","0.0-7.0-0.0-1.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","","","","","","","","","","","","","","","705.9901362878722","431.99835464804335","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","187759","0.0-7.0-0.0-1.0","639cc81017566d4a414d09db","64d3ef96556dbe1f0e02b5aa","64da645552852a457ec47fb9","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
