"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","75","0.0-0.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","15096","0.0-1.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","[{""page_index"":0,""viewing_time"":15016}]","15018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","16097","0.0-2.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","","1417","722","true","safari","16.2.0","false","Mac OS","true","60.18","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","20053","0.0-3.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","3909","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","29737","0.0-4.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","9181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","33899","0.0-5.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","4130","","","","","","","","","","","","","{""prolificID"":""63d729a2b7d60227b7b282de""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","34913","0.0-6.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","","1440","900","true","safari","16.2.0","false","Mac OS","true","59.94","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","85050","0.0-7.0-0.0-0.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","[{""page_index"":0,""viewing_time"":19778},{""page_index"":1,""viewing_time"":5073},{""page_index"":2,""viewing_time"":16956},{""page_index"":3,""viewing_time"":8327}]","50135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","101056","0.0-7.0-0.0-1.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","","","","","","","","","","","","","","","390.97324900778375","374.00926104350486","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","101056","0.0-7.0-0.0-1.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","109052","0.0-7.0-0.0-2.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","7993","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","112060","0.0-7.0-0.0-3.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","115654","0.0-7.0-0.0-4.0","63d729a2b7d60227b7b282de","64d3ef96556dbe1f0e02b5aa","64da90de626e05ababfbade3","","","","","","","","","","","","","","","","","","","","","","","","347.99000733988925","338.0003830716779","3591","","","","","","","","","","","","",""
