"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","98","0.0-0.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3012","0.0-1.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","[{""page_index"":0,""viewing_time"":2913}]","2913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","4012","0.0-2.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","","1707","835","true","chrome","115.0.0","false","Windows 10","true","60.32","false","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","6620","0.0-3.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","2542","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","9657","0.0-4.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","2534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","12365","0.0-5.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","2703","","","","","","","","","","","","","{""prolificID"":""63d94906463da95ed3d8e627""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","13361","0.0-6.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","","1707","835","true","chrome","115.0.0","false","Windows 10","true","60.4","false","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","41364","0.0-7.0-0.0-0.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","[{""page_index"":0,""viewing_time"":10130},{""page_index"":1,""viewing_time"":4712},{""page_index"":2,""viewing_time"":5952},{""page_index"":3,""viewing_time"":7208}]","28003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","49000","0.0-7.0-0.0-1.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","","","","","","","","","","","","","","","764.9971292799934","324.99298761326355","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","49000","0.0-7.0-0.0-1.0","63d94906463da95ed3d8e627","64d3ef96556dbe1f0e02b5aa","64db812ba6828320f065cd41","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
