"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","comprehensionCheck","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","140","0.0-0.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","6211","0.0-1.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","[{""page_index"":0,""viewing_time"":6072}]","6072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","6624","0.0-2.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","1920","1013","true","chrome","115.0.0","false","Windows 10","true","145.99","false","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","8952","0.0-3.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","2198","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","44094","0.0-4.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","34629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","49162","0.0-5.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","5066","","","","","","","","","","","","","{""prolificID"":""63eac01fdd7ce6b0923a36e2""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","49572","0.0-6.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","1920","1080","true","chrome","115.0.0","false","Windows 10","true","146.7","false","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","67647","0.0-7.0-0.0-0.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","[{""page_index"":0,""viewing_time"":7617},{""page_index"":1,""viewing_time"":1252},{""page_index"":2,""viewing_time"":5872},{""page_index"":3,""viewing_time"":3334}]","18075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","90389","0.0-7.0-0.0-1.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","","","","","","","","","","","","","","33.99160915059416","582.9945599957492","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","90389","0.0-7.0-0.0-1.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","92487","0.0-7.0-0.0-2.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","2095","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","95495","0.0-7.0-0.0-3.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","98193","0.0-7.0-0.0-4.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","","","","","","","","","","","","","","","","","","","","","","341.9998999935872","377.99000050007663","2702","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","98193","0.0-7.0-0.0-4.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","341.9998999935872","377.99000050007663","2702","500","300","","","","","","","","","","","",""
"","","","","","html-button-response","12","99803","0.0-7.0-0.0-5.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","1609","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","129503","0.0-7.0-1.0-0.0","63eac01fdd7ce6b0923a36e2","64d3ef96556dbe1f0e02b5aa","64da63f7e55b62d438ba8b51","","29699","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","","",""
