"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","96","0.0-0.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","122019","0.0-1.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","[{""page_index"":0,""viewing_time"":121921}]","121922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","122282","0.0-2.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","1885","939","true","chrome","114.0.0","false","Windows 10","true","233.19","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","140739","0.0-3.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","18133","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","145736","0.0-4.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","4480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","151950","0.0-5.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","6211","","","","","","","","","","","","","{""prolificID"":""63f78d9a7a3d118594efff74""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","152199","0.0-6.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","1920","1080","true","chrome","114.0.0","false","Windows 10","true","242.52","true","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","235935","0.0-7.0-0.0-0.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","[{""page_index"":0,""viewing_time"":58804},{""page_index"":1,""viewing_time"":10739},{""page_index"":2,""viewing_time"":5605},{""page_index"":3,""viewing_time"":8588}]","83737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","249481","0.0-7.0-0.0-1.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","473.0183445634125","316.99531060846704","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","249481","0.0-7.0-0.0-1.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","306184","0.0-7.0-0.0-2.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","56701","","","","","","","","","","","","","0","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","309191","0.0-7.0-0.0-3.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","null","","","","","","","","","","","","","null","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","312276","0.0-7.0-0.0-4.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","","","","","","","385.0070358048155","366.9928938441758","3084.300000011921","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","312276","0.0-7.0-0.0-4.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","385.0070358048155","366.9928938441758","3084.300000011921","500","300","","","","","","","","","","",""
"","","","","","html-button-response","12","318674","0.0-7.0-0.0-5.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","6396","","","","","","","","","","","","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","336829","0.0-7.0-1.0-0.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","18154","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","14","343615","0.0-7.0-1.0-1.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","6784","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","survey-multi-choice","15","348732","0.0-7.0-1.0-2.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","5115","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","[0]","","","","","","","","","",""
"","","","","","instructions","16","359748","0.0-8.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","[{""page_index"":0,""viewing_time"":11013}]","11014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","362753","0.0-9.0-0.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","false","238.24418799998915","500","479.92114317029973","330.87","6","1","","",""
"","","","","","html-keyboard-response","18","370509","0.0-9.0-1.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","","","","","","","491.010000000014","331.99","7756.099999964237","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","370509","0.0-9.0-1.0","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","reconstruct","","","","","","491.010000000014","331.99","7756.099999964237","","","","","","","","","","1","1","375","250"
"","","","","","html-keyboard-response","19","373512","0.0-9.0-0.1","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","239.22466000000057","604.4000000000001","575.4211431702997","266.76","12","2","","",""
"","","","","","html-keyboard-response","20","375605","0.0-9.0-1.1","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","","","","","","","403.99","346","2092.899999976158","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","375605","0.0-9.0-1.1","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","","","","","","","","","","","","","","","","","reconstruct","","","","","","403.99","346","2092.899999976158","","","","","","","","","","2","6","625","350"
"","","","","","html-keyboard-response","21","378609","0.0-9.0-0.2","63f78d9a7a3d118594efff74","64d3ef96556dbe1f0e02b5aa","64db812822e0dc8423354c67","","null","","","","","","","","","","","","","null","","","fallScene","","","","","","","","","","","","true","237.23202299999812","500","453.67114317029973","210.33","5","3","","",""
