"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","response","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","runnerFPS","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","currentTrial","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","83","0.0-0.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","8840","0.0-1.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","[{""page_index"":0,""viewing_time"":8757}]","8757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","9828","0.0-2.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","","1280","875","true","chrome","115.0.0","false","Windows 10","true","60.98","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","20888","0.0-3.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","10976","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","26042","0.0-4.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","4653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","29652","0.0-5.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","3604","","","","","","","","","","","","","{""prolificID"":""63ffb67634be3d959f3ff793""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","6","30637","0.0-6.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","","1280","1024","true","chrome","115.0.0","false","Windows 10","true","61.08","false","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","68002","0.0-7.0-0.0-0.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","[{""page_index"":0,""viewing_time"":12604},{""page_index"":1,""viewing_time"":7266},{""page_index"":2,""viewing_time"":9720},{""page_index"":3,""viewing_time"":7775}]","37365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","77384","0.0-7.0-0.0-1.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","","","","","","","","","","","","","","","218.9843997456488","188.00171524574392","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","77384","0.0-7.0-0.0-1.0","63ffb67634be3d959f3ff793","64d3ef96556dbe1f0e02b5aa","64da6455f32e927ccfba8b88","","","","","","","","","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","",""
