"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","313","0.0-0.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","22506","0.0-1.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","[{""page_index"":0,""viewing_time"":22191}]","22192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","23489","0.0-2.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","","1600","811","true","chrome","131.0.0","false","Windows 10","true","61.26","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","39625","0.0-3.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","16072","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","42198","0.0-4.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","2263","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","43186","0.0-5.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","","1600","900","true","chrome","131.0.0","false","Windows 10","true","60.83","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","45853","0.0-6.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","2665","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","48477","0.0-7.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","2623","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","49375","0.0-8.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","897","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","50379","0.0-9.0","66e0d867f745183388c72031","67619bf32066d179f8b4b1ec","67894f336c17c953e4726a36","passed","","","1600","900","true","chrome","131.0.0","false","Windows 10","true","60.06","true","true","","","","","","","","","","","","","","","","",""
