"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","708","0.0-0.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","10583","0.0-1.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","[{""page_index"":0,""viewing_time"":9873}]","9874","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","11585","0.0-2.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","","1348","590","true","chrome","131.0.0","false","Windows 10","true","60.96","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","35861","0.0-3.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","23983","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","39398","0.0-4.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","3213","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","40449","0.0-5.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","","1366","768","true","chrome","131.0.0","false","Windows 10","true","57.54","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","59898","0.0-6.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","19447","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","62943","0.0-7.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","3039","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","67319","0.0-8.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","4370","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","68327","0.0-9.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","","1366","768","true","chrome","131.0.0","false","Windows 10","true","60.05","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","92636","0.0-10.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","24291","","","","","","","","","","","","","","{""prolificID"":""67884b1aa6c55d9dd2388778""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","435976","0.0-11.0-0.0-0.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","[{""page_index"":0,""viewing_time"":310825},{""page_index"":1,""viewing_time"":11760},{""page_index"":2,""viewing_time"":10356},{""page_index"":3,""viewing_time"":10396}]","343338","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","451087","0.0-11.0-0.0-1.0","67884b1aa6c55d9dd2388778","67619bf32066d179f8b4b1ec","67894a96eb30b84596b5b8c5","passed","","14589","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
