"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","802","0.0-0.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2248","0.0-1.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","[{""page_index"":0,""viewing_time"":1445}]","1446","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","3244","0.0-2.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","1920","1065","true","chrome","132.0.0","false","Windows 10","true","60.45","false","false","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","6685","0.0-3.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","3390","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","9114","0.0-4.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","2113","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","10116","0.0-5.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","1920","1200","true","chrome","132.0.0","false","Windows 10","true","59.97","false","false","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","12087","0.0-6.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","1970","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","13480","0.0-7.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","1391","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","15103","0.0-8.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","1622","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","16104","0.0-9.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","1920","1200","true","chrome","132.0.0","false","Windows 10","true","59.99","false","false","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","24555","0.0-10.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","8448","","","","","","","","","","","","","","{""prolificID"":""5e648efca8c76520c918bb31""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","52309","0.0-11.0-0.0-0.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","[{""page_index"":0,""viewing_time"":6423},{""page_index"":1,""viewing_time"":2597},{""page_index"":2,""viewing_time"":6296},{""page_index"":3,""viewing_time"":12436}]","27752","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","74759","0.0-11.0-0.0-1.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","21933","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","76321","0.0-11.0-0.0-2.0-0.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","79126","0.0-11.0-0.0-2.0-1.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","2799","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","15","81241","0.0-11.0-0.0-2.0-0.1","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","16","82718","0.0-11.0-0.0-2.0-1.1","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","1474","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","17","84293","0.0-11.0-0.0-2.0-0.2","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","85054","0.0-11.0-0.0-2.0-1.2","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","759","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","103901","0.0-11.0-0.0-3.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","[{""page_index"":0,""viewing_time"":15426},{""page_index"":1,""viewing_time"":3418}]","18845","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","105975","0.0-11.0-0.0-4.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","1558","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","116291","0.0-11.0-1.0-0.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","10315","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","119860","0.0-11.0-1.0-1.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","3568","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","122982","0.0-11.0-1.0-2.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","3121","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","125953","0.0-11.0-1.0-3.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","2970","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","133660","0.0-11.0-1.0-4.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","7706","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","137849","0.0-11.0-1.0-5.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","4189","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","151355","0.0-11.0-1.0-6.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","13504","","","","","","","","","","","","","","{""checkTrianglePrecision"":""Yes. The proposed purple triangle is very close to the correct position, so I should choose 'Yes.'""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","28","153197","0.0-11.0-2.0-0.0","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","","1841","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","29","168101","0.0-11.1-0.1-0.1","5e648efca8c76520c918bb31","6790928bebf0b969fc839b02","67982616c22679020ba106d8","passed","[{""page_index"":0,""viewing_time"":5322},{""page_index"":1,""viewing_time"":7165},{""page_index"":2,""viewing_time"":1323},{""page_index"":3,""viewing_time"":1093}]","14903","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
