"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","132","0.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","22394","0.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","[{""page_index"":0,""viewing_time"":22262}]","22262","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","22810","0.0-2.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","1920","953","true","chrome","132.0.0","false","Windows 10","true","145.45","false","true","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","37978","0.0-3.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","15097","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","40977","0.0-4.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","2695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","41393","0.0-5.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","1920","1080","true","chrome","132.0.0","false","Windows 10","true","144.37","false","true","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","44999","0.0-6.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","3605","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","48932","0.0-7.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","3932","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","51704","0.0-8.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","2771","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","52123","0.0-9.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","1920","1080","true","chrome","132.0.0","false","Windows 10","true","143.99","false","true","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","55946","0.0-10.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","3818","","","","","","","","","","","","","","{""prolificID"":""603f28793a28f30ab6932a12""}","","","","","","","","","","","","",""
"","","","","","instructions","11","138890","0.0-11.0-0.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","[{""page_index"":0,""viewing_time"":22487},{""page_index"":1,""viewing_time"":37792},{""page_index"":2,""viewing_time"":12352},{""page_index"":3,""viewing_time"":10312}]","82944","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","154679","0.0-11.0-0.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","15277","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","156763","0.0-11.0-0.0-2.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","14","159997","0.0-11.0-0.0-2.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","3220","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","html-keyboard-response","15","161575","0.0-11.0-0.0-2.0-0.1","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","16","162940","0.0-11.0-0.0-2.0-1.1","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","1365","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","",""
"","","","","","html-keyboard-response","17","164498","0.0-11.0-0.0-2.0-0.2","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","18","166350","0.0-11.0-0.0-2.0-1.2","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","1849","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","",""
"","","","","","instructions","19","213865","0.0-11.0-0.0-3.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","[{""page_index"":0,""viewing_time"":27034},{""page_index"":1,""viewing_time"":20480}]","47514","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","219450","0.0-11.0-0.0-4.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","5079","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","239026","0.0-11.0-1.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","19575","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","22","245042","0.0-11.0-1.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","6015","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","23","252409","0.0-11.0-1.0-2.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","7366","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","24","256626","0.0-11.0-1.0-3.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","4216","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","25","264714","0.0-11.0-1.0-4.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","8088","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","26","270802","0.0-11.0-1.0-5.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","6087","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","27","288346","0.0-11.0-1.0-6.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","17543","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","",""
"","","","","","instructions","28","317650","0.0-12.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","[{""page_index"":0,""viewing_time"":5815},{""page_index"":1,""viewing_time"":7560},{""page_index"":2,""viewing_time"":7992},{""page_index"":3,""viewing_time"":7936}]","29303","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","29","330273","0.0-13.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","[{""page_index"":0,""viewing_time"":12623}]","12624","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","333271","0.0-13.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","2997","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","334825","0.0-13.0-2.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","32","337839","0.0-13.0-2.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","972","","","","","","","","","","","","","","j","yesOrNo_prac","","","","1","","","far gt","3000","","","",""
"","","","","","html-keyboard-response","33","339394","0.0-13.0-2.0-0.1","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","34","342401","0.0-13.0-2.0-1.1","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","1004","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","close gt","3000","","","",""
"","","","","","html-keyboard-response","35","343978","0.0-13.0-2.0-0.2","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","36","346985","0.0-13.0-2.0-1.2","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","763","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","gt","3000","","","",""
"","","","","","html-keyboard-response","37","349397","0.0-13.0-3.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","2412","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","350957","0.0-13.0-4.0-0.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","39","351965","0.0-13.0-4.0-1.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","739","","","","","","","","","","","","","","f","yesOrNo_prac","","","","6","","","gt","1000","","","",""
"","","","","","html-keyboard-response","40","354082","0.0-13.0-4.0-0.1","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","41","355090","0.0-13.0-4.0-1.1","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","710","","","","","","","","","","","","","","f","yesOrNo_prac","","","","3","","","close gt","1000","","","",""
"","","","","","html-keyboard-response","42","356671","0.0-13.0-4.0-0.2","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","43","357673","0.0-13.0-4.0-1.2","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","","658","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","far gt","1000","","","",""
"","","","","","instructions","44","365809","0.0-13.0-5.0","603f28793a28f30ab6932a12","6790928bebf0b969fc839b02","67982657db3be9841ccafdef","passed","[{""page_index"":0,""viewing_time"":8135}]","8135","","","","","","","","","","","","","","","","","","","","","","","","","","",""
