"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","496","0.0-0.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","41611","0.0-1.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","[{""page_index"":0,""viewing_time"":41111}]","41112","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","42607","0.0-2.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","1517","684","true","chrome","130.0.0","false","Chrome OS","true","61.34","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","47391","0.0-3.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","4628","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","105287","0.0-4.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","57591","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","106277","0.0-5.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","1517","852","true","chrome","130.0.0","false","Chrome OS","true","60.83","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","122252","0.0-6.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","15973","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","136421","0.0-7.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","14167","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","142564","0.0-8.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","6141","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","143573","0.0-9.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","1517","852","true","chrome","130.0.0","false","Chrome OS","true","60.05","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","158568","0.0-10.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","14980","","","","","","","","","","","","","","{""prolificID"":""61bb392e40db417c1a138dcb""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","336504","0.0-11.0-0.0-0.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","[{""page_index"":0,""viewing_time"":68223},{""page_index"":1,""viewing_time"":75147},{""page_index"":2,""viewing_time"":16033},{""page_index"":3,""viewing_time"":18529}]","177934","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","342365","0.0-11.0-0.0-1.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","5327","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","344543","0.0-11.0-0.0-2.0-0.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","353269","0.0-11.0-0.0-2.0-1.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","8715","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","15","355380","0.0-11.0-0.0-2.0-0.1","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","16","358379","0.0-11.0-0.0-2.0-1.1","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","2991","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","17","359958","0.0-11.0-0.0-2.0-0.2","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","361083","0.0-11.0-0.0-2.0-1.2","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","1119","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","517083","0.0-11.0-0.0-3.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","[{""page_index"":0,""viewing_time"":70099},{""page_index"":1,""viewing_time"":85897}]","155998","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","556016","0.0-11.0-0.0-4.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","38429","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","584823","0.0-11.0-1.0-0.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","28800","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","591101","0.0-11.0-1.0-1.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","6272","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","605504","0.0-11.0-1.0-2.0","61bb392e40db417c1a138dcb","6790928bebf0b969fc839b02","679827d73167607bbdfe59b2","passed","","14398","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
