"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","152","0.0-0.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","641600","0.0-1.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","[{""page_index"":0,""viewing_time"":641436}]","641437","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","642608","0.0-2.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","","1792","1008","true","chrome","132.0.0","false","Mac OS","true","60.02","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","647934","0.0-3.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","5108","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","659341","0.0-4.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","11104","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","660436","0.0-5.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","","1792","1095","true","chrome","132.0.0","false","Mac OS","true","60.16","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","669488","0.0-6.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","9051","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","671624","0.0-7.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","2135","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","673042","0.0-8.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","1416","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","674057","0.0-9.0","65b929230cff388d15dd5c4c","6790928bebf0b969fc839b02","6792bc7bd8cdd9caa5103fc3","passed","","","1792","1120","true","chrome","132.0.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","","",""
