"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","159","0.0-0.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","28151","0.0-1.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","[{""page_index"":0,""viewing_time"":27992}]","27993","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","29146","0.0-2.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","","1439","644","true","chrome","128.0.0","false","Mac OS","true","60.81","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","31629","0.0-3.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","2417","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","35022","0.0-4.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","3090","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","36017","0.0-5.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","","1440","900","true","chrome","128.0.0","false","Mac OS","true","60.44","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","38894","0.0-6.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","2876","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","41778","0.0-7.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","2879","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","43252","0.0-8.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","1467","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","44257","0.0-9.0","662692c1abc4830626fccb23","6790928bebf0b969fc839b02","67982724adfe1ea64ac8b315","passed","","","1440","900","true","chrome","128.0.0","false","Mac OS","true","60.09","true","true","","","","","","","","","","","","","","","","",""
