"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","229","0.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","10381","0.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":10151}]","10151","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","11368","0.0-2.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","1366","607","true","chrome","132.0.0","false","Windows 10","true","61.14","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","41795","0.0-3.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","30182","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","44827","0.0-4.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2727","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","45816","0.0-5.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","1366","768","true","chrome","132.0.0","false","Windows 10","true","60.85","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","49513","0.0-6.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","3695","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","52116","0.0-7.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2601","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","54099","0.0-8.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1981","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","55115","0.0-9.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","1366","768","true","chrome","132.0.0","false","Windows 10","true","60.04","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","59809","0.0-10.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","4689","","","","","","","","","","","","","","{""prolificID"":""6628591817056f60a12cb03b""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","122408","0.0-11.0-0.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":34462},{""page_index"":1,""viewing_time"":3557},{""page_index"":2,""viewing_time"":9064},{""page_index"":3,""viewing_time"":15515}]","62598","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","153807","0.0-11.0-0.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","30891","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","155898","0.0-11.0-0.0-2.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","158350","0.0-11.0-0.0-2.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2447","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","15","159915","0.0-11.0-0.0-2.0-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","16","161803","0.0-11.0-0.0-2.0-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1885","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","17","163386","0.0-11.0-0.0-2.0-0.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","164731","0.0-11.0-0.0-2.0-1.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1341","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","218754","0.0-11.0-0.0-3.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":39231},{""page_index"":1,""viewing_time"":14791}]","54023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","225980","0.0-11.0-0.0-4.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","6713","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","249030","0.0-11.0-1.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","23047","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","254379","0.0-11.0-1.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","5348","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","261345","0.0-11.0-1.0-2.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","6965","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","272890","0.0-11.0-1.0-3.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","11543","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","284424","0.0-11.0-1.0-4.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","11532","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","305389","0.0-11.0-1.0-5.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","20963","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","549619","0.0-11.0-1.0-6.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","244229","","","","","","","","","","","","","","{""checkTrianglePrecision"":""Yes. The proposed purple triangle is very close to the correct position, so I should choose 'Yes.'""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","28","552716","0.0-11.0-2.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","3096","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","29","618971","0.0-11.1-0.1-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":23901},{""page_index"":1,""viewing_time"":11860},{""page_index"":2,""viewing_time"":10553},{""page_index"":3,""viewing_time"":19940}]","66254","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","629221","0.0-11.1-0.1-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","9746","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","631310","0.0-11.1-0.1-2.1-0.3","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","32","632038","0.0-11.1-0.1-2.1-1.3","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","725","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","33","633593","0.0-11.1-0.1-2.1-0.4","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","34","642227","0.0-11.1-0.1-2.1-1.4","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","8631","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","35","643812","0.0-11.1-0.1-2.1-0.5","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","36","645161","0.0-11.1-0.1-2.1-1.5","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1347","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","37","700854","0.0-11.1-0.1-3.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":37040},{""page_index"":1,""viewing_time"":18652}]","55693","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","704205","0.0-11.1-0.1-4.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2846","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","39","715836","0.0-11.1-1.1-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","11630","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","40","720254","0.0-11.1-1.1-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","4417","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","41","725431","0.0-11.1-1.1-2.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","5175","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","42","731457","0.0-11.1-1.1-3.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","6025","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","43","750693","0.0-11.1-1.1-4.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","19235","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","44","760849","0.0-11.1-1.1-5.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","10154","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","45","775181","0.0-11.1-1.1-6.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","14330","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
"","","","","","instructions","46","824948","0.0-12.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":9276},{""page_index"":1,""viewing_time"":21146},{""page_index"":2,""viewing_time"":4169},{""page_index"":3,""viewing_time"":2204},{""page_index"":2,""viewing_time"":5690},{""page_index"":3,""viewing_time"":7280}]","49766","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","47","856426","0.0-13.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":31477}]","31478","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","887505","0.0-13.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","31077","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","889064","0.0-13.0-2.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","50","892072","0.0-13.0-2.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2648","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","far gt","3000","","","","",""
"","","","","","html-keyboard-response","51","893648","0.0-13.0-2.0-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","52","896652","0.0-13.0-2.0-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2734","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","gt","3000","","","","",""
"","","","","","html-keyboard-response","53","898214","0.0-13.0-2.0-0.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","54","901232","0.0-13.0-2.0-1.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1355","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","close gt","3000","","","","",""
"","","","","","html-keyboard-response","55","907577","0.0-13.0-3.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","6344","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","909146","0.0-13.0-4.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","57","910159","0.0-13.0-4.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","gt","1000","","","","",""
"","","","","","html-keyboard-response","58","912263","0.0-13.0-4.0-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","59","913266","0.0-13.0-4.0-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","599","","","","","","","","","","","","","","f","yesOrNo_prac","","","","3","","","close gt","1000","","","","",""
"","","","","","html-keyboard-response","60","914846","0.0-13.0-4.0-0.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","61","915858","0.0-13.0-4.0-1.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","925","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","far gt","1000","","","","",""
"","","","","","instructions","62","926625","0.0-13.0-5.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","[{""page_index"":0,""viewing_time"":10766}]","10767","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","928907","0.0-13.0-6.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","2281","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>1 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","930463","0.0-13.0-7.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","65","931469","0.0-13.0-7.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","574","","","","","","","","","","","","","","j","yesOrNo_prac","","","","6","","","close gt","1000","","","","",""
"","","","","","html-keyboard-response","66","933045","0.0-13.0-7.0-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","67","934051","0.0-13.0-7.0-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","774","","","","","","","","","","","","","","j","yesOrNo_prac","","","","5","","","gt","1000","","","","",""
"","","","","","html-keyboard-response","68","935628","0.0-13.0-7.0-0.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","69","936632","0.0-13.0-7.0-1.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","683","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","far gt","1000","","","","",""
"","","","","","html-keyboard-response","70","938522","0.0-13.0-8.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1889","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","940095","0.0-13.0-9.0-0.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","72","943105","0.0-13.0-9.0-1.0","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","849","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","close gt","3000","","","","",""
"","","","","","html-keyboard-response","73","944678","0.0-13.0-9.0-0.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","365","249","2","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","74","947689","0.0-13.0-9.0-1.1","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1255","","","","","","","","","","","","","","j","yesOrNo_prac","","","","2","","","gt","3000","","","","",""
"","","","","","html-keyboard-response","75","949262","0.0-13.0-9.0-0.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","76","952269","0.0-13.0-9.0-1.2","6628591817056f60a12cb03b","6790928bebf0b969fc839b02","679827a1f1349630785bfe3d","passed","","1305","","","","","","","","","","","","","","f","yesOrNo_prac","","","","5","","","far gt","3000","","","","",""
