"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","179","0.0-0.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","10789","0.0-1.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","[{""page_index"":0,""viewing_time"":10609}]","10609","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","11771","0.0-2.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","1509","800","true","chrome","131.0.0","false","Mac OS","true","61.31","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","14572","0.0-3.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","2747","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","17290","0.0-4.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","2414","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","18287","0.0-5.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","1920","1080","true","chrome","131.0.0","false","Mac OS","true","60.28","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","21978","0.0-6.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","3690","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","26947","0.0-7.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","4969","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","28658","0.0-8.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","1710","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","29671","0.0-9.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","1920","1080","true","chrome","131.0.0","false","Mac OS","true","59.98","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","45242","0.0-10.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","15569","","","","","","","","","","","","","","{""prolificID"":""66358a8c455c8ca13957e2ca""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","120341","0.0-11.0-0.0-0.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","[{""page_index"":0,""viewing_time"":43065},{""page_index"":1,""viewing_time"":17517},{""page_index"":2,""viewing_time"":10400},{""page_index"":3,""viewing_time"":4117}]","75099","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","125409","0.0-11.0-0.0-1.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","4564","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","127504","0.0-11.0-0.0-2.0-0.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","132944","0.0-11.0-0.0-2.0-1.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","5438","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","15","134522","0.0-11.0-0.0-2.0-0.1","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","16","135552","0.0-11.0-0.0-2.0-1.1","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","1028","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","17","137104","0.0-11.0-0.0-2.0-0.2","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","18","138709","0.0-11.0-0.0-2.0-1.2","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","1604","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","instructions","19","159508","0.0-11.0-0.0-3.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","[{""page_index"":0,""viewing_time"":9765},{""page_index"":1,""viewing_time"":11034}]","20799","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","163009","0.0-11.0-0.0-4.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","2999","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","180543","0.0-11.0-1.0-0.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","17533","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","185508","0.0-11.0-1.0-1.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","4964","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","188591","0.0-11.0-1.0-2.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","3083","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","193842","0.0-11.0-1.0-3.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","5250","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","205958","0.0-11.0-1.0-4.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","12115","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","212777","0.0-11.0-1.0-5.0","66358a8c455c8ca13957e2ca","6790928bebf0b969fc839b02","679826234ab24870b19de8dd","passed","","6818","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
