"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","6","0.0-0.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","990","0.0-1.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","[{""page_index"":0,""viewing_time"":983}]","983","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","1913","0.0-2.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","1218","633","true","chrome","131.0.0","false","Windows 10","true","65.22","true","true","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","9624","0.0-3.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","7485","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","17436","0.0-4.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","7511","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","18367","0.0-5.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","1280","720","true","chrome","131.0.0","false","Windows 10","true","64.68","true","true","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","20845","0.0-6.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","2477","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","25686","0.0-7.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","4840","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","27224","0.0-8.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","1537","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","28163","0.0-9.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","1280","720","true","chrome","131.0.0","false","Windows 10","true","64.09","true","true","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","32394","0.0-10.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","4225","","","","","","","","","","","","","","{""prolificID"":""663cd0ab9a13d177b358f8f1""}","","","","","","","","","","","","",""
"","","","","","instructions","11","35813","0.0-11.0-0.0-0.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","[{""page_index"":0,""viewing_time"":1144},{""page_index"":1,""viewing_time"":578},{""page_index"":2,""viewing_time"":563},{""page_index"":3,""viewing_time"":1134}]","3419","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","38361","0.0-11.0-0.0-1.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","2040","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","39907","0.0-11.0-0.0-2.0-0.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","14","40417","0.0-11.0-0.0-2.0-1.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","505","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","",""
"","","","","","html-keyboard-response","15","42000","0.0-11.0-0.0-2.0-0.1","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","16","42390","0.0-11.0-0.0-2.0-1.1","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","388","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","",""
"","","","","","html-keyboard-response","17","44501","0.0-11.0-0.0-2.0-0.2","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","18","45245","0.0-11.0-0.0-2.0-1.2","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","741","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","instructions","19","48546","0.0-11.0-0.0-3.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","[{""page_index"":0,""viewing_time"":1911},{""page_index"":1,""viewing_time"":1389}]","3300","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","49987","0.0-11.0-0.0-4.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","932","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","54918","0.0-11.0-1.0-0.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","4930","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","22","60513","0.0-11.0-1.0-1.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","5594","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","23","62636","0.0-11.0-1.0-2.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","2122","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","24","67050","0.0-11.0-1.0-3.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","4414","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","25","71526","0.0-11.0-1.0-4.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","4474","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","26","74828","0.0-11.0-1.0-5.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","3302","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","",""
"","","","","","survey-multi-choice","27","77347","0.0-11.0-1.0-6.0","663cd0ab9a13d177b358f8f1","6790928bebf0b969fc839b02","679826c1e71d9d08ae4de998","passed","","2519","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","",""
