"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","275","0.0-0.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","10127","0.0-1.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","[{""page_index"":0,""viewing_time"":9850}]","9851","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","11119","0.0-2.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","","1366","647","true","chrome","131.0.0","false","Chrome OS","true","61.08","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","128392","0.0-3.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","117239","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","210148","0.0-4.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","81445","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","211164","0.0-5.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","","1366","768","true","chrome","131.0.0","false","Chrome OS","true","60.04","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","214782","0.0-6.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","3617","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","217475","0.0-7.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","2691","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","218795","0.0-8.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","1318","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","235289","0.0-9.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","","1366","768","true","chrome","131.0.0","false","Chrome OS","true","60.3","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","270447","0.0-10.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","35149","","","","","","","","","","","","","","{""prolificID"":""666f31820e74d2b2fe99a088""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","945671","0.0-11.0-0.0-0.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","[{""page_index"":0,""viewing_time"":643253},{""page_index"":1,""viewing_time"":1320},{""page_index"":2,""viewing_time"":16212},{""page_index"":3,""viewing_time"":14423}]","675209","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","981245","0.0-11.0-0.0-1.0","666f31820e74d2b2fe99a088","6790928bebf0b969fc839b02","6798263b5b803b9954dc3944","passed","","35059","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
