"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","22","0.0-0.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1753","0.0-1.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","[{""page_index"":0,""viewing_time"":1730}]","1731","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","2740","0.0-2.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","","1059","888","true","chrome","131.0.0","false","Linux","true","61","false","true","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","4676","0.0-3.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","1824","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","6442","0.0-4.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","1464","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","7458","0.0-5.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","","1920","1080","true","chrome","131.0.0","false","Linux","true","60.04","false","true","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","8930","0.0-6.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","1472","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","9648","0.0-7.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","718","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","9962","0.0-8.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","313","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","10975","0.0-9.0","668340555d67e9d1df712a45","6790928bebf0b969fc839b02","679826202b2114cc04234446","passed","","","1920","1080","true","chrome","131.0.0","false","Linux","true","59.99","false","true","","","","","","","","","","","","","","","",""
