"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","603","0.0-0.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","18733","0.0-1.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","[{""page_index"":0,""viewing_time"":18127}]","18128","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","19722","0.0-2.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","","1280","632","true","chrome","131.0.0","false","Windows 10","true","61.22","true","true","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","27277","0.0-3.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","7486","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","108277","0.0-4.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","80691","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","109279","0.0-5.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","","1280","720","true","chrome","131.0.0","false","Windows 10","true","60.04","true","true","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","115078","0.0-6.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","5797","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","122559","0.0-7.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","7479","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","124972","0.0-8.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","2412","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","125988","0.0-9.0","66b91ee649636fce844ef133","6790928bebf0b969fc839b02","679826a3bee717b33834ef95","passed","","","1280","720","true","chrome","131.0.0","false","Windows 10","true","60.02","true","true","","","","","","","","","","","","","","","",""
