"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","157","0.0-0.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4652","0.0-1.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","[{""page_index"":0,""viewing_time"":4494}]","4494","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","5089","0.0-2.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","1920","945","true","chrome","132.0.0","false","Windows 10","true","137.77","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","9493","0.0-3.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","4370","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","21558","0.0-4.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","11748","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","21976","0.0-5.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","1920","1080","true","chrome","132.0.0","false","Windows 10","true","144.13","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","25675","0.0-6.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","3698","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","31791","0.0-7.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","6116","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","34628","0.0-8.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","2836","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","35049","0.0-9.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","1920","1080","true","chrome","132.0.0","false","Windows 10","true","143.88","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","39521","0.0-10.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","4470","","","","","","","","","","","","","","{""prolificID"":""66f23f43364a3d1b7b018f27""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","1057959","0.0-11.0-0.0-0.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","[{""page_index"":0,""viewing_time"":31353},{""page_index"":1,""viewing_time"":946562},{""page_index"":2,""viewing_time"":13553},{""page_index"":3,""viewing_time"":26970}]","1018438","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","1085915","0.0-11.0-0.0-1.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","27451","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","1087949","0.0-11.0-0.0-2.0-0.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","1092409","0.0-11.0-0.0-2.0-1.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","4457","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","15","1093990","0.0-11.0-0.0-2.0-0.1","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","16","1098580","0.0-11.0-0.0-2.0-1.1","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","4589","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","17","1100141","0.0-11.0-0.0-2.0-0.2","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","18","1102442","0.0-11.0-0.0-2.0-1.2","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","","2299","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","instructions","19","1126039","0.0-11.0-0.0-3.0","66f23f43364a3d1b7b018f27","6790928bebf0b969fc839b02","67982756161a841bba24367d","passed","[{""page_index"":0,""viewing_time"":14050},{""page_index"":1,""viewing_time"":9547}]","23597","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
