"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","364","0.0-0.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","14289","0.0-1.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","[{""page_index"":0,""viewing_time"":13924}]","13925","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","15281","0.0-2.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","","1480","846","true","chrome","131.0.0","false","Mac OS","true","60.66","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","26240","0.0-3.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","10879","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","28282","0.0-4.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","1734","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","29281","0.0-5.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","","1680","1050","true","chrome","131.0.0","false","Mac OS","true","60.13","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","35545","0.0-6.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","4782","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","40212","0.0-7.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","4666","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","44019","0.0-8.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","3807","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","45029","0.0-9.0","6792fcd5751aea26106a7e13","6790928bebf0b969fc839b02","679826e1de93adbd5c34a650","passed","","","1680","1050","true","chrome","131.0.0","false","Mac OS","true","59.99","true","true","","","","","","","","","","","","","","","","",""
