success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,practiceTestResult,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,url,stimulus,response,task,ball_X,obstacle_groundTruth_x,obstacle_groundTruth_y,stimulus_idx,trial_name,flipped,choice,timeLimit,question_order,comprehensionCheck,currentTrial,obstacle_choice_x,obstacle_choice_y
TRUE,FALSE,[],[],[],preload,0,11,0.0-0.0,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,1,2695,0.0-1.0,5980128635fbf100017d0861,,,passed,"[{""page_index"":0,""viewing_time"":2683}]",2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,browser-check,2,2943,0.0-2.0,5980128635fbf100017d0861,,,passed,,,1707,1067,TRUE,chrome,131.0.0,FALSE,Windows 10,TRUE,244.7,TRUE,TRUE,,,,,,,,,,,,,,,,,
,,,,,external-html,3,6231,0.0-3.0,5980128635fbf100017d0861,,,passed,,3126,,,,,,,,,,,,consent.html,,,,,,,,,,,,,,,,
TRUE,,,,,fullscreen,4,10964,0.0-4.0,5980128635fbf100017d0861,,,passed,,4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,browser-check,5,11213,0.0-5.0,5980128635fbf100017d0861,,,passed,,,1707,1067,TRUE,chrome,131.0.0,FALSE,Windows 10,TRUE,242.03,TRUE,TRUE,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,6,14227,0.0-6.0,5980128635fbf100017d0861,,,passed,,3013,,,,,,,,,,,,,"<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>", ,,,,,,,,,,,,,,
,,,,,html-keyboard-response,7,16107,0.0-7.0,5980128635fbf100017d0861,,,passed,,1880,,,,,,,,,,,,,"<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>",f,,,,,,,,,,,,,,
,,,,,html-keyboard-response,8,17714,0.0-8.0,5980128635fbf100017d0861,,,passed,,1607,,,,,,,,,,,,,"<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>",j,,,,,,,,,,,,,,
,,,,,browser-check,9,17968,0.0-9.0,5980128635fbf100017d0861,,,passed,,,1707,1067,TRUE,chrome,131.0.0,FALSE,Windows 10,TRUE,239.52,TRUE,TRUE,,,,,,,,,,,,,,,,,
,,,,,survey-text,10,21095,0.0-10.0,5980128635fbf100017d0861,,,passed,,3126,,,,,,,,,,,,,,"{""prolificID"":""5980128635fbf100017d0861""}",,,,,,,,,,,,,,
,,,,,instructions,11,44224,0.0-11.0-0.0-0.0,5980128635fbf100017d0861,,,passed,"[{""page_index"":0,""viewing_time"":6415},{""page_index"":1,""viewing_time"":6232},{""page_index"":2,""viewing_time"":4312},{""page_index"":3,""viewing_time"":6168}]",23128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,12,56104,0.0-11.0-0.0-1.0,5980128635fbf100017d0861,,,passed,,11379,,,,,,,,,,,,,"<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>",j,,,,,,,,,,,,,,
,,,,,html-keyboard-response,13,58160,0.0-11.0-0.0-2.0-0.0,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,ballFalling_prac,660,666,350,3,fallScene,FALSE,,,,,,,
,,,,,html-keyboard-response,14,61895,0.0-11.0-0.0-2.0-1.0,5980128635fbf100017d0861,,,passed,,3733,,,,,,,,,,,,,,f,yesOrNo_prac_noTimed,,,,3,,,wrong direction,NA,,,,,
,,,,,html-keyboard-response,15,63471,0.0-11.0-0.0-2.0-0.1,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,ballFalling_prac,441,414,302,5,fallScene,TRUE,,,,,,,
,,,,,html-keyboard-response,16,64347,0.0-11.0-0.0-2.0-1.1,5980128635fbf100017d0861,,,passed,,875,,,,,,,,,,,,,,f,yesOrNo_prac_noTimed,,,,5,,,close gt,NA,,,,,
,,,,,html-keyboard-response,17,65904,0.0-11.0-0.0-2.0-0.2,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,ballFalling_prac,416,464,296,1,fallScene,FALSE,,,,,,,
,,,,,html-keyboard-response,18,67453,0.0-11.0-0.0-2.0-1.2,5980128635fbf100017d0861,,,passed,,1548,,,,,,,,,,,,,,f,yesOrNo_prac_noTimed,,,,1,,,gt,NA,,,,,
,,,,,instructions,19,87049,0.0-11.0-0.0-3.0,5980128635fbf100017d0861,,,passed,"[{""page_index"":0,""viewing_time"":3690},{""page_index"":1,""viewing_time"":15905}]",19595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,20,89113,0.0-11.0-0.0-4.0,5980128635fbf100017d0861,,,passed,,1549,,,,,,,,,,,,,"<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>",1,,,,,,,,,,,,,,
,,,,,survey-multi-choice,21,92273,0.0-11.0-1.0-0.0,5980128635fbf100017d0861,,,passed,,3159,,,,,,,,,,,,,,"{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,22,96161,0.0-11.0-1.0-1.0,5980128635fbf100017d0861,,,passed,,3887,,,,,,,,,,,,,,"{""checkBallHitObstacle"":""Yes.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,23,97937,0.0-11.0-1.0-2.0,5980128635fbf100017d0861,,,passed,,1775,,,,,,,,,,,,,,"{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,24,103001,0.0-11.0-1.0-3.0,5980128635fbf100017d0861,,,passed,,5064,,,,,,,,,,,,,,"{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,25,110793,0.0-11.0-1.0-4.0,5980128635fbf100017d0861,,,passed,,7792,,,,,,,,,,,,,,"{""checkTimeBlockNotice"":""Before every individual trial.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,26,116450,0.0-11.0-1.0-5.0,5980128635fbf100017d0861,,,passed,,5656,,,,,,,,,,,,,,"{""checkTimeBlockSameness"":""No, the time limit changes for each trial within a block.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,27,122553,0.0-11.0-1.0-6.0,5980128635fbf100017d0861,,,passed,,6103,,,,,,,,,,,,,,"{""checkTrianglePrecision"":""Yes. The proposed purple triangle is very close to the correct position, so I should choose 'Yes.'""}",,,,,,,,,,[0],,,,
,,,,,html-button-response,28,125321,0.0-11.0-2.0-0.0,5980128635fbf100017d0861,,,passed,,2767,,,,,,,,,,,,,<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>,0,,,,,,,,,,,failed,,,
,,,,,instructions,29,136113,0.0-11.1-0.1-0.1,5980128635fbf100017d0861,,,passed,"[{""page_index"":0,""viewing_time"":1191},{""page_index"":1,""viewing_time"":704},{""page_index"":2,""viewing_time"":4152},{""page_index"":3,""viewing_time"":4744}]",10792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,30,141401,0.0-11.1-0.1-1.1,5980128635fbf100017d0861,,,passed,,4786,,,,,,,,,,,,,"<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>",j,,,,,,,,,,,,,,
,,,,,html-keyboard-response,31,142957,0.0-11.1-0.1-2.1-0.3,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,ballFalling_prac,416,464,296,1,fallScene,FALSE,,,,,,,
,,,,,html-keyboard-response,32,143441,0.0-11.1-0.1-2.1-1.3,5980128635fbf100017d0861,,,passed,,482,,,,,,,,,,,,,,j,yesOrNo_prac_noTimed,,,,1,,,gt,NA,,,,,
,,,,,html-keyboard-response,33,145550,0.0-11.1-0.1-2.1-0.4,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,ballFalling_prac,660,666,350,3,fallScene,FALSE,,,,,,,
,,,,,html-keyboard-response,34,145962,0.0-11.1-0.1-2.1-1.4,5980128635fbf100017d0861,,,passed,,410,,,,,,,,,,,,,,f,yesOrNo_prac_noTimed,,,,3,,,wrong direction,NA,,,,,
,,,,,html-keyboard-response,35,147537,0.0-11.1-0.1-2.1-0.5,5980128635fbf100017d0861,,,passed,,,,,,,,,,,,,,,,,ballFalling_prac,441,414,302,5,fallScene,TRUE,,,,,,,
,,,,,html-keyboard-response,36,148739,0.0-11.1-0.1-2.1-1.5,5980128635fbf100017d0861,,,passed,,1201,,,,,,,,,,,,,,j,yesOrNo_prac_noTimed,,,,5,,,close gt,NA,,,,,
,,,,,instructions,37,165826,0.0-11.1-0.1-3.1,5980128635fbf100017d0861,,,passed,"[{""page_index"":0,""viewing_time"":15831},{""page_index"":1,""viewing_time"":1256}]",17087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,38,167906,0.0-11.1-0.1-4.1,5980128635fbf100017d0861,,,passed,,1578,,,,,,,,,,,,,"<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>",1,,,,,,,,,,,,,,
,,,,,survey-multi-choice,39,170282,0.0-11.1-1.1-0.1,5980128635fbf100017d0861,,,passed,,2375,,,,,,,,,,,,,,"{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,40,172251,0.0-11.1-1.1-1.1,5980128635fbf100017d0861,,,passed,,1968,,,,,,,,,,,,,,"{""checkBallHitObstacle"":""Yes.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,41,174675,0.0-11.1-1.1-2.1,5980128635fbf100017d0861,,,passed,,2423,,,,,,,,,,,,,,"{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,42,178627,0.0-11.1-1.1-3.1,5980128635fbf100017d0861,,,passed,,3952,,,,,,,,,,,,,,"{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,43,186811,0.0-11.1-1.1-4.1,5980128635fbf100017d0861,,,passed,,8184,,,,,,,,,,,,,,"{""checkTimeBlockNotice"":""At the beginning of each block.""}",,,,,,,,,,[0],,,,
,,,,,survey-multi-choice,44,199771,0.0-11.1-1.1-5.1,5980128635fbf100017d0861,,,passed,,12960,,,,,,,,,,,,,,"{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}",,,,,,,,,,[0],,,,
