"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","85","0.0-0.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","7350","0.0-1.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","[{""page_index"":0,""viewing_time"":7264}]","7264","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","8353","0.0-2.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","","1536","791","true","chrome","133.0.0","false","Windows 10","true","60.27","true","true","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","17858","0.0-3.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","9418","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","25019","0.0-4.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","6854","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","26136","0.0-5.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","","1536","960","true","chrome","133.0.0","false","Windows 10","true","60.11","true","true","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","29869","0.0-6.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","3732","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","32048","0.0-7.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","2178","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","33176","0.0-8.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","1127","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","34187","0.0-9.0","58a0c507890ea500014c4e9b","6796e1c0ff24ca17c453c51c","67c7115adf212260a0bf18f8","passed","","","1536","960","true","chrome","133.0.0","false","Windows 10","true","59.93","true","true","","","","","","","","","","","","","","","",""
