"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","234","0.0-0.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","20799","0.0-1.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","[{""page_index"":0,""viewing_time"":20563}]","20563","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","21786","0.0-2.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","","1920","919","true","chrome","133.0.0","false","Windows 10","true","61.03","false","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","33111","0.0-3.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","11240","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","76623","0.0-4.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","43199","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","77618","0.0-5.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","60.51","false","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","86632","0.0-6.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","9012","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","100894","0.0-7.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","14261","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","103493","0.0-8.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","2597","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","104502","0.0-9.0","5bad8fc39c0cc900017a6a28","6796e1c0ff24ca17c453c51c","67c70d4d77acfc6ff7e608b8","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","60.01","false","true","","","","","","","","","","","","","","","","",""
