"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","109","0.0-0.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","44206","0.0-1.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":44097}]","44097","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","45193","0.0-2.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","2560","1317","true","chrome","133.0.0","false","Windows 10","true","60.99","false","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","51523","0.0-3.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","6298","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","58314","0.0-4.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","6480","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","59306","0.0-5.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","2560","1440","true","chrome","133.0.0","false","Windows 10","true","60.57","false","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","64387","0.0-6.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","5081","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","67145","0.0-7.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2758","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","69957","0.0-8.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2811","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","70964","0.0-9.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","2560","1440","true","chrome","133.0.0","false","Windows 10","true","60","false","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","85490","0.0-10.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","14524","","","","","","","","","","","","","","{""prolificID"":""5d337586669d96001cbbb059""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","174553","0.0-11.0-0.0-0.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":26338},{""page_index"":1,""viewing_time"":22462},{""page_index"":2,""viewing_time"":24453},{""page_index"":3,""viewing_time"":15810}]","89062","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","197347","0.0-11.0-0.0-1.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","22290","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","198923","0.0-11.0-0.0-2.0-0.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","201609","0.0-11.0-0.0-2.0-1.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2681","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","15","203193","0.0-11.0-0.0-2.0-0.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","16","204709","0.0-11.0-0.0-2.0-1.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","1514","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","17","206817","0.0-11.0-0.0-2.0-0.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","18","208695","0.0-11.0-0.0-2.0-1.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","1877","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","instructions","19","236488","0.0-11.0-0.0-3.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":18192},{""page_index"":1,""viewing_time"":9600}]","27793","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","242480","0.0-11.0-0.0-4.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","5490","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","271028","0.0-11.0-1.0-0.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","28547","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","275153","0.0-11.0-1.0-1.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","4124","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","279716","0.0-11.0-1.0-2.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","4563","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","285549","0.0-11.0-1.0-3.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","5832","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","297294","0.0-11.0-1.0-4.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","11744","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""You won't be notified about the time limit.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","305012","0.0-11.0-1.0-5.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","7717","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","329368","0.0-11.0-1.0-6.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","24356","","","","","","","","","","","","","","{""checkTrianglePrecision"":""Yes. The proposed purple triangle is very close to the correct position, so I should choose 'Yes.'""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","28","332552","0.0-11.0-2.0-0.0","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","3183","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","29","360100","0.0-11.1-0.1-0.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":16079},{""page_index"":1,""viewing_time"":6177},{""page_index"":2,""viewing_time"":2776},{""page_index"":3,""viewing_time"":2515}]","27548","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","366799","0.0-11.1-0.1-1.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","6191","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","368365","0.0-11.1-0.1-2.1-0.3","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","32","370795","0.0-11.1-0.1-2.1-1.3","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2428","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","33","372903","0.0-11.1-0.1-2.1-0.4","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","34","374910","0.0-11.1-0.1-2.1-1.4","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2006","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","35","376489","0.0-11.1-0.1-2.1-0.5","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","36","378414","0.0-11.1-0.1-2.1-1.5","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","1925","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","37","429173","0.0-11.1-0.1-3.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":32740},{""page_index"":1,""viewing_time"":18018}]","50758","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","433358","0.0-11.1-0.1-4.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","3678","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","39","445386","0.0-11.1-1.1-0.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","12027","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","40","448960","0.0-11.1-1.1-1.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","3573","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","41","453267","0.0-11.1-1.1-2.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","4307","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","42","458406","0.0-11.1-1.1-3.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","5138","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","43","467959","0.0-11.1-1.1-4.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","9553","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","44","471313","0.0-11.1-1.1-5.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","3354","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","45","479026","0.0-11.1-1.1-6.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","7712","","","","","","","","","","","","","","{""checkTrianglePrecision"":""Yes. The proposed purple triangle is very close to the correct position, so I should choose 'Yes.'""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","46","481056","0.0-11.1-2.1-0.1","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2029","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","47","487365","0.0-11.2-0.2-0.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":2411},{""page_index"":1,""viewing_time"":362},{""page_index"":2,""viewing_time"":2763},{""page_index"":3,""viewing_time"":772}]","6308","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","491074","0.0-11.2-0.2-1.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","3207","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","493171","0.0-11.2-0.2-2.2-0.6","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","50","495710","0.0-11.2-0.2-2.2-1.6","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","2538","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","51","497291","0.0-11.2-0.2-2.2-0.7","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","52","498639","0.0-11.2-0.2-2.2-1.7","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","1346","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","html-keyboard-response","53","500193","0.0-11.2-0.2-2.2-0.8","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","54","501472","0.0-11.2-0.2-2.2-1.8","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","1278","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","instructions","55","532272","0.0-11.2-0.2-3.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","[{""page_index"":0,""viewing_time"":29084},{""page_index"":1,""viewing_time"":1715}]","30800","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","56","533673","0.0-11.2-0.2-4.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","896","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","57","547059","0.0-11.2-1.2-0.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","13385","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","58","553171","0.0-11.2-1.2-1.2","5d337586669d96001cbbb059","6796e1c0ff24ca17c453c51c","67c6abb317d1045ae78b637b","passed","","6112","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
