"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","268","0.0-0.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","22899","0.0-1.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","[{""page_index"":0,""viewing_time"":22630}]","22630","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","23898","0.0-2.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","1536","695","true","chrome","133.0.0","false","Windows 10","true","60.31","true","true","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","38008","0.0-3.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","14018","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","50027","0.0-4.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","11716","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","51023","0.0-5.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","1536","864","true","chrome","133.0.0","false","Windows 10","true","60.36","true","true","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","58842","0.0-6.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","7817","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","63197","0.0-7.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","4354","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","65096","0.0-8.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","1898","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","66098","0.0-9.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","1536","864","true","chrome","133.0.0","false","Windows 10","true","60.19","true","true","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","73193","0.0-10.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","7093","","","","","","","","","","","","","","{""prolificID"":""5de7d12c26dd95000b6824c5""}","","","","","","","","","","","","",""
"","","","","","instructions","11","165848","0.0-11.0-0.0-0.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","[{""page_index"":0,""viewing_time"":38279},{""page_index"":1,""viewing_time"":24566},{""page_index"":2,""viewing_time"":12621},{""page_index"":3,""viewing_time"":17187}]","92654","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","193536","0.0-11.0-0.0-1.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","27176","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","195597","0.0-11.0-0.0-2.0-0.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","14","197068","0.0-11.0-0.0-2.0-1.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","1460","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
"","","","","","html-keyboard-response","15","198639","0.0-11.0-0.0-2.0-0.1","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","16","200900","0.0-11.0-0.0-2.0-1.1","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","2258","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","",""
"","","","","","html-keyboard-response","17","202475","0.0-11.0-0.0-2.0-0.2","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","18","204148","0.0-11.0-0.0-2.0-1.2","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","1671","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","",""
"","","","","","instructions","19","271899","0.0-11.0-0.0-3.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","[{""page_index"":0,""viewing_time"":36217},{""page_index"":1,""viewing_time"":31533}]","67750","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","277919","0.0-11.0-0.0-4.0","5de7d12c26dd95000b6824c5","6796e1c0ff24ca17c453c51c","67c716c7ba6ac147a1090a50","passed","","5514","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","",""
