"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","324","0.0-0.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1455554","0.0-1.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","[{""page_index"":0,""viewing_time"":1455229}]","1455229","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","1456542","0.0-2.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","1593","855","true","chrome","133.0.0","false","Windows 10","true","60.96","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","1516939","0.0-3.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","59907","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","1535674","0.0-4.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","18422","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","1536674","0.0-5.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","60.11","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2079321","0.0-6.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","542646","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","2083784","0.0-7.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","4460","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2085223","0.0-8.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","1438","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","2086236","0.0-9.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","60","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","2099823","0.0-10.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","13582","","","","","","","","","","","","","","{""prolificID"":""5eaee5a2b1ad425c2eb0061d""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","2205445","0.0-11.0-0.0-0.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","[{""page_index"":0,""viewing_time"":66718},{""page_index"":1,""viewing_time"":15132},{""page_index"":2,""viewing_time"":10352},{""page_index"":3,""viewing_time"":13420}]","105622","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","2236343","0.0-11.0-0.0-1.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","30391","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","2238469","0.0-11.0-0.0-2.0-0.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","2240958","0.0-11.0-0.0-2.0-1.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","2485","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","15","2242519","0.0-11.0-0.0-2.0-0.1","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","16","2243494","0.0-11.0-0.0-2.0-1.1","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","972","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","17","2245069","0.0-11.0-0.0-2.0-0.2","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","2245670","0.0-11.0-0.0-2.0-1.2","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","599","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","2269203","0.0-11.0-0.0-3.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","[{""page_index"":0,""viewing_time"":10203},{""page_index"":1,""viewing_time"":13329}]","23532","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","2278917","0.0-11.0-0.0-4.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","9211","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","2292415","0.0-11.0-1.0-0.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","13497","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","2318600","0.0-11.0-1.0-1.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","26184","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","2324657","0.0-11.0-1.0-2.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","6055","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","2332700","0.0-11.0-1.0-3.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","8043","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","2350964","0.0-11.0-1.0-4.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","18263","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","2364396","0.0-11.0-1.0-5.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","13431","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""No, the time limit changes for each trial within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","2387794","0.0-11.0-1.0-6.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","23397","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
"","","","","","html-button-response","28","2391917","0.0-11.0-2.0-0.0","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","","4123","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","",""
"","","","","","instructions","29","2451467","0.0-11.1-0.1-0.1","5eaee5a2b1ad425c2eb0061d","6796e1c0ff24ca17c453c51c","67c718efd2fb57b837e6860f","passed","[{""page_index"":0,""viewing_time"":25903},{""page_index"":1,""viewing_time"":14238},{""page_index"":2,""viewing_time"":10180},{""page_index"":3,""viewing_time"":9228}]","59549","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
