"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","233","0.0-0.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2177","0.0-1.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","[{""page_index"":0,""viewing_time"":1943}]","1944","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","3163","0.0-2.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","","1358","642","true","edge-chromium","133.0.0","false","Windows 10","true","61.37","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","8205","0.0-3.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","5010","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","12204","0.0-4.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","3695","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","13191","0.0-5.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","","1366","768","true","edge-chromium","133.0.0","false","Windows 10","true","60.9","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","16157","0.0-6.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","2964","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","20973","0.0-7.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","4814","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","22436","0.0-8.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","1462","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","23437","0.0-9.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","","1366","768","true","edge-chromium","133.0.0","false","Windows 10","true","60.19","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","49276","0.0-10.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","","25834","","","","","","","","","","","","","","{""prolificID"":""62a36469aa54a53fcfcc27d2""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","137493","0.0-11.0-0.0-0.0","62a36469aa54a53fcfcc27d2","6796e1c0ff24ca17c453c51c","67c70c37ba4882acb9fcaeef","passed","[{""page_index"":0,""viewing_time"":51724},{""page_index"":1,""viewing_time"":8580},{""page_index"":2,""viewing_time"":13116},{""page_index"":3,""viewing_time"":14803}]","88224","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
