"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","13195","0.0-0.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","54043","0.0-1.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","[{""page_index"":0,""viewing_time"":40846}]","40847","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","55029","0.0-2.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","","1920","919","true","chrome","133.0.0","false","Windows 10","true","61.34","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","68893","0.0-3.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","13660","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","81965","0.0-4.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","12756","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","87425","0.0-5.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","","1920","919","true","chrome","133.0.0","false","Windows 10","true","60.7","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","91774","0.0-6.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","4343","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","95286","0.0-7.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","3511","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","97861","0.0-8.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","2574","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","98872","0.0-9.0","6400e3697879c55c323f34d0","6796e1c0ff24ca17c453c51c","67c7245cb00787c48a2edaec","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","59.97","true","true","","","","","","","","","","","","","","","","",""
