"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","523","0.0-0.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","39379","0.0-1.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","[{""page_index"":0,""viewing_time"":38857}]","38858","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","40365","0.0-2.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","1434","781","true","chrome","133.0.0","false","Mac OS","true","60.99","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","45645","0.0-3.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","5038","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","49730","0.0-4.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","3782","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","50715","0.0-5.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","1434","868","true","chrome","133.0.0","false","Mac OS","true","60.94","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","55016","0.0-6.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","4284","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","57573","0.0-7.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","2525","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","58670","0.0-8.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","1097","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","59681","0.0-9.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","1440","900","true","chrome","133.0.0","false","Mac OS","true","60.01","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","73201","0.0-10.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","13508","","","","","","","","","","","","","","{""prolificID"":""663a77b9f973602bcedaf526""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","138744","0.0-11.0-0.0-0.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","[{""page_index"":0,""viewing_time"":37078},{""page_index"":1,""viewing_time"":11199},{""page_index"":2,""viewing_time"":8766},{""page_index"":3,""viewing_time"":8501}]","65544","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","161946","0.0-11.0-0.0-1.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","22698","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","163915","0.0-11.0-0.0-2.0-0.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","165324","0.0-11.0-0.0-2.0-1.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","1404","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","15","167432","0.0-11.0-0.0-2.0-0.1","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","16","171566","0.0-11.0-0.0-2.0-1.1","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","4132","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","17","173147","0.0-11.0-0.0-2.0-0.2","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","174471","0.0-11.0-0.0-2.0-1.2","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","","1322","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","199729","0.0-11.0-0.0-3.0","663a77b9f973602bcedaf526","6796e1c0ff24ca17c453c51c","67c71dfd3fc2aa50703c8644","passed","[{""page_index"":0,""viewing_time"":9256},{""page_index"":1,""viewing_time"":16001}]","25257","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
