"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","498","0.0-0.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","13852","0.0-1.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","[{""page_index"":0,""viewing_time"":13353}]","13353","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","14839","0.0-2.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","2048","983","true","chrome","133.0.0","false","Windows 10","true","60.87","true","false","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","73436","0.0-3.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","58303","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","79854","0.0-4.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","6117","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","80860","0.0-5.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","2048","1152","true","chrome","133.0.0","false","Windows 10","true","59.96","true","false","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","89058","0.0-6.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","8198","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","91697","0.0-7.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","2639","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","93617","0.0-8.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","1920","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","94621","0.0-9.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","2048","1152","true","chrome","133.0.0","false","Windows 10","true","59.96","true","false","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","98406","0.0-10.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","3784","","","","","","","","","","","","","","{""prolificID"":""66413abd57f96e210a9cfe13""}","","","","","","","","","","","","",""
"","","","","","instructions","11","161793","0.0-11.0-0.0-0.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","[{""page_index"":0,""viewing_time"":22736},{""page_index"":1,""viewing_time"":23819},{""page_index"":2,""viewing_time"":8544},{""page_index"":3,""viewing_time"":8288}]","63387","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","179691","0.0-11.0-0.0-1.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","17394","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","181274","0.0-11.0-0.0-2.0-0.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","14","183722","0.0-11.0-0.0-2.0-1.0","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","2445","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","",""
"","","","","","html-keyboard-response","15","185828","0.0-11.0-0.0-2.0-0.1","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","16","190138","0.0-11.0-0.0-2.0-1.1","66413abd57f96e210a9cfe13","6796e1c0ff24ca17c453c51c","67c6ab41247e39ec2d4f23a5","passed","","4310","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","",""
