"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","956","0.0-0.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","7364","0.0-1.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","[{""page_index"":0,""viewing_time"":6407}]","6408","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","8349","0.0-2.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","1600","773","true","chrome","133.0.0","false","Windows 10","true","61.31","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","16157","0.0-3.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","7517","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","29088","0.0-4.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","12624","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","30080","0.0-5.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","1600","900","true","chrome","133.0.0","false","Windows 10","true","60.61","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","40345","0.0-6.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","10264","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","47819","0.0-7.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","7473","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","49998","0.0-8.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","2178","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","51013","0.0-9.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","1600","900","true","chrome","133.0.0","false","Windows 10","true","60.08","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","70093","0.0-10.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","19072","","","","","","","","","","","","","","{""prolificID"":""671c6fad5a9935e94b3025fd""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","201628","0.0-11.0-0.0-0.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","[{""page_index"":0,""viewing_time"":69242},{""page_index"":1,""viewing_time"":37272},{""page_index"":2,""viewing_time"":10610},{""page_index"":3,""viewing_time"":14410}]","131534","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","224101","0.0-11.0-0.0-1.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","21956","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","225651","0.0-11.0-0.0-2.0-0.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","14","227458","0.0-11.0-0.0-2.0-1.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","1792","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","",""
"","","","","","html-keyboard-response","15","229561","0.0-11.0-0.0-2.0-0.1","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","16","231923","0.0-11.0-0.0-2.0-1.1","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","2360","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","",""
"","","","","","html-keyboard-response","17","233488","0.0-11.0-0.0-2.0-0.2","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","18","235465","0.0-11.0-0.0-2.0-1.2","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","1973","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","",""
"","","","","","instructions","19","301311","0.0-11.0-0.0-3.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","[{""page_index"":0,""viewing_time"":33790},{""page_index"":1,""viewing_time"":32056}]","65846","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","310898","0.0-11.0-0.0-4.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","9076","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","331722","0.0-11.0-1.0-0.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","20822","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","22","336651","0.0-11.0-1.0-1.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","4927","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","23","345085","0.0-11.0-1.0-2.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","8434","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","24","353918","0.0-11.0-1.0-3.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","8831","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","25","435481","0.0-11.0-1.0-4.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","81563","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","26","448712","0.0-11.0-1.0-5.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","13230","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","475080","0.0-11.0-1.0-6.0","671c6fad5a9935e94b3025fd","6796e1c0ff24ca17c453c51c","67c7160b86c8488303c98404","passed","","26367","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
