"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","77","0.0-0.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","29095","0.0-1.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","[{""page_index"":0,""viewing_time"":29017}]","29017","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","30092","0.0-2.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","1600","773","true","chrome","133.0.0","false","Windows 10","true","60.4","false","false","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","40415","0.0-3.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","10199","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","48150","0.0-4.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","7431","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","49136","0.0-5.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","1600","900","true","chrome","133.0.0","false","Windows 10","true","60.93","false","false","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","52945","0.0-6.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","3808","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","60224","0.0-7.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","7279","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","65836","0.0-8.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","5611","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","","",""
"","","","","","browser-check","9","66838","0.0-9.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","1600","900","true","chrome","133.0.0","false","Windows 10","true","60.13","false","false","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","75027","0.0-10.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","8187","","","","","","","","","","","","","","{""prolificID"":""6728092788e31f69b592fda0""}","","","","","","","","","","","","","","",""
"","","","","","instructions","11","168797","0.0-11.0-0.0-0.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","[{""page_index"":0,""viewing_time"":49948},{""page_index"":1,""viewing_time"":2601},{""page_index"":2,""viewing_time"":16609},{""page_index"":3,""viewing_time"":24611}]","93770","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","186834","0.0-11.0-0.0-1.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","17520","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","188368","0.0-11.0-0.0-2.0-0.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","14","195765","0.0-11.0-0.0-2.0-1.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","7393","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","","",""
"","","","","","html-keyboard-response","15","197878","0.0-11.0-0.0-2.0-0.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","16","201915","0.0-11.0-0.0-2.0-1.1","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","4036","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","","",""
"","","","","","html-keyboard-response","17","203488","0.0-11.0-0.0-2.0-0.2","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","18","209755","0.0-11.0-0.0-2.0-1.2","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","6266","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","","",""
"","","","","","instructions","19","259154","0.0-11.0-0.0-3.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","[{""page_index"":0,""viewing_time"":42340},{""page_index"":1,""viewing_time"":7059}]","49400","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","265346","0.0-11.0-0.0-4.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","5684","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","306205","0.0-11.0-1.0-0.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","40858","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","22","317016","0.0-11.0-1.0-1.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","10810","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","23","355385","0.0-11.0-1.0-2.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","38369","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","24","365405","0.0-11.0-1.0-3.0","6728092788e31f69b592fda0","6796e1c0ff24ca17c453c51c","67c6a3882610e5ab7ad81719","passed","","10019","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","","",""
