"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","1000","0.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","31087","0.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":30085}]","30085","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","32079","0.0-2.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","1280","935","true","chrome","129.0.0","false","Windows 10","true","60.93","false","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","136198","0.0-3.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","102132","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","154727","0.0-4.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","18214","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","155742","0.0-5.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","1280","1024","true","chrome","129.0.0","false","Windows 10","true","60.08","false","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","166425","0.0-6.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","10680","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","175579","0.0-7.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","9146","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","177688","0.0-8.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","2100","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","178701","0.0-9.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","1280","1024","true","chrome","129.0.0","false","Windows 10","true","60.1","false","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","209882","0.0-10.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","31169","","","","","","","","","","","","","","{""prolificID"":""673f6c92a931906b3b255300""}","","","","","","","","","","","","","",""
