"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","3021","0.0-0.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","9883","0.0-1.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","[{""page_index"":0,""viewing_time"":6861}]","6861","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","10380","0.0-2.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","","1480","855","true","chrome","131.0.0","false","Mac OS","true","121.73","true","true","","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","14512","0.0-3.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","3783","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","16426","0.0-4.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","1611","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","16925","0.0-5.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","","1728","1080","true","chrome","131.0.0","false","Mac OS","true","120.65","true","true","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","20288","0.0-6.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","3363","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","24092","0.0-7.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","3802","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","26499","0.0-8.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","2407","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","","",""
"","","","","","browser-check","9","27005","0.0-9.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","","1728","1080","true","chrome","131.0.0","false","Mac OS","true","119.93","true","true","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","10","29956","0.0-10.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","","2943","","","","","","","","","","","","","","{""prolificID"":""6759fa50a9bb240e423de357""}","","","","","","","","","","","","","",""
"","","","","","instructions","11","93856","0.0-11.0-0.0-0.0","6759fa50a9bb240e423de357","6796e1c0ff24ca17c453c51c","67c7195fafac60713890b448","passed","[{""page_index"":0,""viewing_time"":39326},{""page_index"":1,""viewing_time"":7742},{""page_index"":2,""viewing_time"":9982},{""page_index"":3,""viewing_time"":6850}]","63900","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
