"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"true","false","[]","[]","[]","preload","0","177","0.0-0.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","17306","0.0-1.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","[{""page_index"":0,""viewing_time"":17127}]","17128","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","18304","0.0-2.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","","1920","957","true","chrome","133.0.0","false","Windows 10","true","60.49","false","false","","","","","","","","","","","","","","","",""
"","","","","","external-html","3","50993","0.0-3.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","32613","","","","","","","","","","","","consent.html","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","226043","0.0-4.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","174746","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","227052","0.0-5.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","60.01","false","false","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","233669","0.0-6.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","6617","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","237924","0.0-7.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","4254","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","240764","0.0-8.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","2839","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","","","",""
"","","","","","browser-check","9","241768","0.0-9.0","676ac49d62a07c31a31e85ec","6796e1c0ff24ca17c453c51c","67c710c481ea872b732c99de","passed","","","1920","1080","true","chrome","133.0.0","false","Windows 10","true","60.1","false","false","","","","","","","","","","","","","","","",""
