"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround","screen"
"true","false","[]","[]","[]","preload","0","21","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1295","0.0-1.0","[{""page_index"":0,""viewing_time"":1274}]","1274","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","4304","0.0-2.0-0.0","","null","","null","false","322.3","296.07114317029976","371.46","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","6265","0.0-2.0-1.0","","","","","","","","","","317.01","350","1959.5","","","","","","","",""
"","","","","","html-keyboard-response","3","6265","0.0-2.0-1.0","","","","","","","","","","317.01","350","1959.5","2","375","350","57.99000000000001","81.79422987254857","29.98278381562798","true",""
"","","","","","html-button-response","4","30653","0.0-3.0","","24386","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","33657","0.0-4.0-0.0","","null","","null","true","604.4000000000001","596.8711431702998","394.5","10","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","35739","0.0-4.0-1.0","","","","","","","","","","388.9900002425583","303.9999303501098","2081.5","","","","","","","",""
"","","","","","html-keyboard-response","6","35739","0.0-4.0-1.0","","","","","","","","","","388.9900002425583","303.9999303501098","2081.5","4","500","350","120.16333240195175","106.60332255197638","226.72633766631313","false",""
"","","","","","html-button-response","7","36790","0.0-5.0","","1050","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","39792","0.0-6.0-0.0","","null","","null","false","500","479.92114317029973","330.87","6","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","42295","0.0-6.0-1.0","","","","","","","","","","476.9999294331278","259.99000024898726","2502.699999988079","","","","","","","",""
"","","","","","html-keyboard-response","9","42295","0.0-6.0-1.0","","","","","","","","","","476.9999294331278","259.99000024898726","2502.699999988079","2","375","350","136.0359719322076","106.65084708600553","70.94017094990545","false",""
"","","","","","html-button-response","10","43395","0.0-7.0","","1099","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","46399","0.0-8.0-0.0","","null","","null","true","500","510.8711431702997","369.03","8","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","50670","0.0-8.0-1.0","","","","","","","","","","471.9900002489601","336.0000705630173","4270.699999988079","","","","","","","",""
"","","","","","html-keyboard-response","12","50670","0.0-8.0-1.0","","","","","","","","","","471.9900002489601","336.0000705630173","4270.699999988079","6","625","350","153.64913943154298","115.70452394463331","51.016855190041795","false",""
"","","","","","html-keyboard-response","13","53672","0.0-9.0-0.0","","null","","null","true","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","55939","0.0-9.0-1.0","","","","","","","","","","336.99983757098494","384.9900013192463","2266.100000023842","","","","","","","",""
"","","","","","html-keyboard-response","14","55939","0.0-9.0-1.0","","","","","","","","","","336.99983757098494","384.9900013192463","2266.100000023842","6","625","350","290.1178962964193","60.04193539142985","313.63371280430215","false",""
"","","","","","survey-text","15","59443","0.0-10.0","","3501","","{""Summary"":""aaaaa""}","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","61160","0.0-11.0","","1716","","{""Comments"":""bbbbb""}","","","","","","","","","","","","","","","","[]"
"","","","","","html-keyboard-response","17","71167","0.0-12.0","","null","<p><br>Mean Response Time: NaN 
                <br>Percent of Placed Obstacle in between Initial and Groundtruth Condition: NaN %</p><p> Thank you for your participation! Your responses have been successfully recorded. </p><p> Your completion code is</p><b>XxCyhyzl553k</b><p> Please ensure to copy this code and paste it into Prolific, as you won't be able to access this code once you leave this page. </p><p> You're free to exit the window at your convenience.</p>Once again, we appreciate your time and effort!","null","","","","","","","","","","","","","","","",""
