"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround","screen"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1452","0.0-1.0","[{""page_index"":0,""viewing_time"":1449}]","1449","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","4458","0.0-2.0-0.0","","null","","null","false","500","453.67114317029973","210.33","5","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","7022","0.0-2.0-1.0","","","","","","","","","","","499.00010377554855","289.9999994615173","2562.699999988079","","","","","","","",""
"","","","","","html-keyboard-response","3","7022","0.0-2.0-1.0","","","","","","","","","","reconstruct","499.00010377554855","289.9999994615173","2562.699999988079","3","500","250","40.01249491572671","60.992391944789844","91.66255224327088","false",""
"","","","","","html-button-response","4","8040","0.0-3.0","","1017","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","11042","0.0-4.0-0.0","","null","","null","false","500","453.67114317029973","210.33","5","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","16330","0.0-4.0-1.0","","","","","","","","","","","486","284.99","5287","","","","","","","",""
"","","","","","html-keyboard-response","6","16330","0.0-4.0-1.0","","","","","","","","","","reconstruct","486","284.99","5287","4","500","350","66.50037669066242","147.15322584009792","81.35889984454839","true",""
"","","","","","html-button-response","7","17417","0.0-5.0","","1086","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","20420","0.0-6.0-0.0","","null","","null","false","322.3","308.07114317029976","253.89","2","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","23620","0.0-6.0-1.0","","","","","","","","","","","316.99","247","3198.800000011921","","","","","","","",""
"","","","","","html-keyboard-response","9","23620","0.0-6.0-1.0","","","","","","","","","","reconstruct","316.99","247","3198.800000011921","6","625","350","324.77555342112805","331.1812681770825","11.270231015764075","true",""
"","","","","","html-button-response","10","24737","0.0-7.0","","1116","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","27740","0.0-8.0-0.0","","null","","null","true","500","479.92114317029973","330.87","6","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","30025","0.0-8.0-1.0","","","","","","","","","","","505.0004921026692","267.99001211559124","2283.399999976158","","","","","","","",""
"","","","","","html-keyboard-response","12","30025","0.0-8.0-1.0","","","","","","","","","","reconstruct","505.0004921026692","267.99001211559124","2283.399999976158","6","625","350","145.346207409765","146.33465617895396","67.69687303867835","true",""
"","","","","","html-keyboard-response","13","33027","0.0-9.0-0.0","","null","","null","true","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","35196","0.0-9.0-1.0","","","","","","","","","","","352.9996728452105","397.9900053529455","2167.400000035763","","","","","","","",""
"","","","","","html-keyboard-response","14","35196","0.0-9.0-1.0","","","","","","","","","","reconstruct","352.9996728452105","397.9900053529455","2167.400000035763","2","375","350","52.792565846845385","217.0196586249499","258.24915249911015","false",""
"","","","","","survey-text","15","38748","0.0-10.0","","3550","","{""Summary"":""aaaaa""}","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","40752","0.0-11.0","","2001","","{""Comments"":""bbbbb""}","","","","","","","","","","","","","","","","","[]"
"","","","","","html-keyboard-response","17","50754","0.0-12.0","","null","<p><br>Mean Response Time: NaN 
                <br>Percent of Placed Obstacle in between Initial and Groundtruth Condition: NaN %</p><p> Thank you for your participation! Your responses have been successfully recorded. </p><p> Your completion code is</p><b>XxCyhyzl553k</b><p> Please ensure to copy this code and paste it into Prolific, as you won't be able to access this code once you leave this page. </p><p> You're free to exit the window at your convenience.</p>Once again, we appreciate your time and effort!","null","","","","","","","","","","","","","","","","",""
