"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround","value","screen"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","79191","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":79178}]","79178","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","82198","0.0-2.0-0.0","","","","","null","","null","true","500","479.92114317029973","330.87","6","fallScene","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","84292","0.0-2.0-1.0","","","","","","","","","","","","","","513.0000710552175","324.9900002524454","2092.5","","","","","","","","",""
"","","","","","html-keyboard-response","3","84292","0.0-2.0-1.0","","","","","","","","","","","","","reconstruct","513.0000710552175","324.9900002524454","2092.5","4","500","350","28.186910700064068","27.732965791411512","33.597468164235735","false","",""
"","","","","","html-button-response","4","85279","0.0-3.0","","","","","985","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","88280","0.0-4.0-0.0","","","","","null","","null","true","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","90933","0.0-4.0-1.0","","","","","","","","","","","","","","402.0000999949998","254.99000049996252","2650.800000011921","","","","","","","","",""
"","","","","","html-keyboard-response","6","90934","0.0-4.0-1.0","","","","","","","","","","","","","reconstruct","402.0000999949998","254.99000049996252","2650.800000011921","3","500","250","98.12685924852413","77.26089850056657","173.81999627269622","false","",""
"","","","","","html-button-response","7","92086","0.0-5.0","","","","","1151","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","95093","0.0-6.0-0.0","","","","","null","","null","false","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","98188","0.0-6.0-1.0","","","","","","","","","","","","","","583.01","267.0000000000401","3094","","","","","","","","",""
"","","","","","html-keyboard-response","9","98188","0.0-6.0-1.0","","","","","","","","","","","","","reconstruct","583.01","267.0000000000401","3094","5","625","250","45.30077372409177","52.33508043884061","7.592650919257881","true","",""
"","","","","","html-button-response","10","99288","0.0-7.0","","","","","1099","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","102291","0.0-8.0-0.0","","","","","null","","null","true","500","553.4711431702997","282.51","7","fallScene","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","104359","0.0-8.0-1.0","","","","","","","","","","","","","","461.9994218840259","283.9900167248901","2067","","","","","","","","",""
"","","","","","html-keyboard-response","12","104359","0.0-8.0-1.0","","","","","","","","","","","","","reconstruct","461.9994218840259","283.9900167248901","2067","5","625","250","166.5067857569177","78.57020719944529","91.48369387262252","false","",""
"","","","","","html-keyboard-response","13","107361","0.0-9.0-0.0","","","","","null","","null","true","322.3","356.42114317029973","357.87","4","fallScene","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","110298","0.0-9.0-1.0","","","","","","","","","","","","","","584.99","353.00000000005787","2936.5","","","","","","","","",""
"","","","","","html-keyboard-response","14","110298","0.0-9.0-1.0","","","","","","","","","","","","","reconstruct","584.99","353.00000000005787","2936.5","2","375","350","210.01142849854708","20.176987413846014","228.62073224542752","false","",""
"","","","","","call-function","15","110300","0.0-10.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","113000","0.0-11.0","","","","","2697","","{""Summary"":""aaaaaa""}","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","114901","0.0-12.0","","","","","1900","","{""Comments"":""bbbbb""}","","","","","","","","","","","","","","","","","","[{""event"":""blur"",""trial"":1,""time"":5047},{""event"":""focus"",""trial"":1,""time"":78180}]"
"","","","","","html-keyboard-response","18","124906","0.0-13.0","","","","","null","<p><br>Mean Response Time: 2568 
                <br>Percent of Placed Obstacle in between Initial and Groundtruth Condition: 20 %</p><p> Thank you for your participation! Your responses have been successfully recorded. </p><p><a href=""https://app.prolific.co/submissions/complete?cc=XXXXXXX"">Click here to return to Prolific and complete the study</a>.</p><p>Once again, we appreciate your time and effort! </p>","null","","","","","","","","","","","","","","","","","",""
