"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","response","question_order","comprehensionCheck","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround","value"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4056","0.0-1.0","","","","3549","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","10140","0.0-2.0-0.0-0.0","","","","6083","[{""page_index"":0,""viewing_time"":3064},{""page_index"":1,""viewing_time"":851},{""page_index"":2,""viewing_time"":1268},{""page_index"":3,""viewing_time"":899}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","15593","0.0-2.0-0.0-1.0","","","","","","420.00978242495944","351.9979253525811","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","15593","0.0-2.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","48406","0.0-2.0-0.0-2.0","","","","32812","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","5","50639","0.0-2.0-1.0-0.0","","","","2230","","","","","{""generalProcedure"":""I am not sure.""}","[0]","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","52160","0.0-2.0-1.0-1.0","","","","1519","","","","","{""checkBallHitObstacle"":""I am not sure.""}","[0]","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","7","53510","0.0-2.0-1.0-2.0","","","","1348","","","","","{""checkTriangleVisibility"":""I am not sure.""}","[0]","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","54561","0.0-2.0-2.0-0.0","","","","1047","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","failed","","","","","","","","","","","","","","","","",""
"","","","","","instructions","9","59116","0.0-2.1-0.1-0.1","","","","4555","[{""page_index"":0,""viewing_time"":1467},{""page_index"":1,""viewing_time"":901},{""page_index"":2,""viewing_time"":1185},{""page_index"":3,""viewing_time"":1001}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","63184","0.0-2.1-0.1-1.1","","","","","","292.00701231189765","371.0071293395101","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","63184","0.0-2.1-0.1-1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","65937","0.0-2.1-0.1-2.1","","","","2752","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","12","67754","0.0-2.1-1.1-0.1","","","","1815","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","[0]","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","13","69839","0.0-2.1-1.1-1.1","","","","2083","","","","","{""checkBallHitObstacle"":""Yes.""}","[0]","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","14","71375","0.0-2.1-1.1-2.1","","","","1534","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","[0]","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","15","74795","0.0-3.0","","","","3417","[{""page_index"":0,""viewing_time"":3417}]","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","77800","0.0-4.0-0.0","","","","null","","","","","null","","","false","322.3","296.07114317029976","371.46","3","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","82000","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","269.0000000097961","347.01","4199.900000035763","","","","","","","",""
"","","","","","html-keyboard-response","17","82000","0.0-4.0-1.0","","","","","","","","","","","","","","","","","reconstruct","269.0000000097961","347.01","4199.900000035763","4","500","350","231.01935004556262","205.05489569349075","36.478065902902294","false",""
"","","","","","html-button-response","18","83450","0.0-5.0","","","","1448","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","86456","0.0-6.0-0.0","","","","null","","","","","null","","","true","500","510.8711431702997","369.03","8","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","89891","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","468.0000698596298","244.00999975597864","3435.099999964237","","","","","","","",""
"","","","","","html-keyboard-response","20","89891","0.0-6.0-1.0","","","","","","","","","","","","","","","","","reconstruct","468.0000698596298","244.00999975597864","3435.099999964237","5","625","250","157.114156481854","164.90462959315064","132.1662944468972","true",""
"","","","","","html-button-response","21","91273","0.0-7.0","","","","1381","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","94274","0.0-8.0-0.0","","","","null","","","","","null","","","true","500","553.4711431702997","282.51","7","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","97328","0.0-8.0-1.0","","","","","","","","","","","","","","","","","","466.00032736907656","288.9900053599621","3052.600000023842","","","","","","","",""
"","","","","","html-keyboard-response","23","97328","0.0-8.0-1.0","","","","","","","","","","","","","","","","","reconstruct","466.00032736907656","288.9900053599621","3052.600000023842","2","375","350","109.559477122048","190.8057888129016","87.71051297533633","true",""
"","","","","","html-button-response","24","98829","0.0-9.0","","","","1501","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","101830","0.0-10.0-0.0","","","","null","","","","","null","","","true","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","104584","0.0-10.0-1.0","","","","","","","","","","","","","","","","","","383.9999000049307","309.9900004999632","2753.2000000476837","","","","","","","",""
"","","","","","html-keyboard-response","26","104584","0.0-10.0-1.0","","","","","","","","","","","","","","","","","reconstruct","383.9999000049307","309.9900004999632","2753.2000000476837","6","625","350","244.29868656549579","52.64487236707649","229.03298055578355","false",""
"","","","","","html-keyboard-response","27","107589","0.0-11.0-0.0","","","","null","","","","","null","","","false","322.3","356.42114317029973","357.87","4","fallScene","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","119913","0.0-11.0-1.0","","","","","","","","","","","","","","","","","","280.00000077462573","390.00999999997","12324.199999988079","","","","","","","",""
"","","","","","html-keyboard-response","28","119913","0.0-11.0-1.0","","","","","","","","","","","","","","","","","reconstruct","280.00000077462573","390.00999999997","12324.199999988079","3","500","250","260.77346444597515","179.58514701534637","82.90458735834798","false",""
"","","","","","call-function","29","119915","0.0-12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","125201","0.0-13.0","","","","5285","","","","","{""Summary"":""aaaaaa""}","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","31","129088","0.0-14.0","","","","3884","","","","","{""Comments"":""bbbbb""}","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","139094","0.0-15.0","","","","null","","","","<p><br>Mean Response Time: 5153 
                <br>Mean Distance Between Obstacle's Final Position and Initial Position: 201
                <br>Percent of Placed Obstacle in between Initial and Groundtruth Condition: 40 %</p><p> Thank you for your participation! Your responses have been successfully recorded. </p><p><a href=""https://app.prolific.co/submissions/complete?cc=XXXXXXX"">Click here to return to Prolific and complete the study</a>.</p><p>Once again, we appreciate your time and effort! </p>","null","","","","","","","","","","","","","","","","","","",""
