"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","final_to_groundTruth_distance","initial_to_groundTruth_distance","finalInBetweenInitGround","screen"
"true","false","[]","[]","[]","preload","0","7","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","894","0.0-1.0","[{""page_index"":0,""viewing_time"":886}]","886","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","3902","0.0-2.0-0.0","","null","","null","false","322.3","356.42114317029973","357.87","4","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","6077","0.0-2.0-1.0","","","","","","","","","","303.0097028467049","309.9975803376638","2170.9999999999995","","","","","","","",""
"","","","","","html-keyboard-response","3","6077","0.0-2.0-1.0","","","","","","","","","","","","","5","625","250","NaN","NaN","289.4314067891538","false",""
"","","","","","html-button-response","4","7326","0.0-3.0","","1247","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","10330","0.0-4.0-0.0","","null","","null","false","500","510.8711431702997","369.03","8","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","12112","0.0-4.0-1.0","","","","","","","","","","500","267.01","1776.9999999999982","","","","","","","",""
"","","","","","html-keyboard-response","6","12112","0.0-4.0-1.0","","","","","","","","","","","","","4","500","350","NaN","NaN","21.91626459570958","false",""
"","","","","","html-button-response","7","13165","0.0-5.0","","1052","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","16169","0.0-6.0-0.0","","null","","null","false","322.3","356.42114317029973","357.87","4","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","18010","0.0-6.0-1.0","","","","","","","","","","331.9998586133528","304.99000099955913","1835.9999999999982","","","","","","","",""
"","","","","","html-keyboard-response","9","18010","0.0-6.0-1.0","","","","","","","","","","","","","1","375","250","NaN","NaN","109.45826063435551","false",""
"","","","","","html-button-response","10","19145","0.0-7.0","","1134","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","22150","0.0-8.0-0.0","","null","","null","true","604.4000000000001","575.4211431702997","266.76","12","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","25228","0.0-8.0-1.0","","","","","","","","","","397.9999999999997","272.99","3070","","","","","","","",""
"","","","","","html-keyboard-response","12","25228","0.0-8.0-1.0","","","","","","","","","","","","","2","375","350","NaN","NaN","217.0196586249499","false",""
"","","","","","html-keyboard-response","13","28232","0.0-9.0-0.0","","null","","null","false","322.3","356.42114317029973","357.87","4","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","31328","0.0-9.0-1.0","","","","","","","","","","339.99977840396576","329.0099975444584","3092","","","","","","","",""
"","","","","","html-keyboard-response","14","31328","0.0-9.0-1.0","","","","","","","","","","","","","3","500","250","NaN","NaN","179.58514701534637","false",""
"","","","","","survey-text","15","42811","0.0-10.0","","11472","","{""Summary"":""aaaaa""}","","","","","","","","","","","","","","","",""
"","","","","","survey-text","16","45076","0.0-11.0","","2259","","{""Comments"":""sodas""}","","","","","","","","","","","","","","","","[{""event"":""focus"",""trial"":1,""time"":798}]"
"","","","","","html-keyboard-response","17","55078","0.0-12.0","","null","<p><br>Mean Response Time: NaN 
                <br>Percent of Placed Obstacle in between Initial and Groundtruth Condition: NaN %</p><p> Thank you for your participation! Your responses have been successfully recorded. </p><p> Your completion code is</p><b>XxCyhyzl553k</b><p> Please ensure to copy this code and paste it into Prolific, as you won't be able to access this code once you leave this page. </p><p> You're free to exit the window at your convenience.</p>Once again, we appreciate your time and effort!","null","","","","","","","","","","","","","","","",""
