"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","108","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","8926","0.0-1.0","","","","8691","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","41065","0.0-2.0","","","","31636","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","82481","0.0-3.0","","","","41412","","{""prolificID"":""fan""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","163637","0.0-4.0-0.0-0.0","","","","81156","","","[{""page_index"":0,""viewing_time"":35643},{""page_index"":1,""viewing_time"":20804},{""page_index"":2,""viewing_time"":13928},{""page_index"":3,""viewing_time"":10780}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","175668","0.0-4.0-0.0-1.0","","","","","","","","487.00999999995315","364.99999903190303","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","175668","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","242779","0.0-4.0-0.0-2.0","","","","67109","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","245783","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","250338","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","433.0022827198202","335.0097359740254","4554.199999988079","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","250338","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","433.0022827198202","335.0097359740254","4554.199999988079","500","300","","","","","","","","","","","","",""
