"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","comprehensionCheck","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","147","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","7411","0.0-1.0","","","","6917","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","9118","0.0-2.0","","","","1203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","11575","0.0-3.0","","","","2434","","{""prolificID"":""222""}","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","85854","0.0-4.0-0.0-0.0","","","","74277","","","[{""page_index"":0,""viewing_time"":36428},{""page_index"":1,""viewing_time"":21548},{""page_index"":2,""viewing_time"":6568},{""page_index"":3,""viewing_time"":9732}]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","97536","0.0-4.0-0.0-1.0","","","","","","","","567.0099980584921","370.9998029558727","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","97536","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","116725","0.0-4.0-0.0-2.0","","","","19188","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","119728","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","122610","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","399.00665431916207","241.9925354145132","2879.9999999999854","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","122610","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","399.00665431916207","241.9925354145132","2879.9999999999854","500","300","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","130009","0.0-4.0-0.0-5.0","","","","7397","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","10","139378","0.0-4.0-1.0-0.0","","","","9367","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","11","148516","0.0-4.0-1.0-1.0","","","","9130","","{""checkBallHitObstacle"":""No.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","12","169152","0.0-4.0-1.0-2.0","","","","20628","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","","",""
"","","","","","html-button-response","13","171955","0.0-4.0-2.0-0.0","","","","2796","","0","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","","","","","","","","","","","failed","","","","","","","","","","","",""
