"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","13","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","567724","0.0-1.0","","","","567707","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","580872","0.0-2.0","","","","12644","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","584298","0.0-3.0","","","","3418","","{""prolificID"":""n/a""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","626919","0.0-4.0-0.0-0.0","","","","42622","","","[{""page_index"":0,""viewing_time"":23886},{""page_index"":1,""viewing_time"":5430},{""page_index"":2,""viewing_time"":5870},{""page_index"":3,""viewing_time"":7433}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","630532","0.0-4.0-0.0-1.0","","","","","","","","857.9929137855557","519.9929441113352","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","630532","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","633567","0.0-4.0-0.0-2.0","","","","3033","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","636578","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","639548","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","298","188.01","2968.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","639548","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","298","188.01","2968.5","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","641748","0.0-4.0-0.0-5.0","","","","2198","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","10","648816","0.0-4.0-1.0-0.0","","","","7067","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","11","651615","0.0-4.0-1.0-1.0","","","","2791","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","12","657097","0.0-4.0-1.0-2.0","","","","5476","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","instructions","13","659365","0.0-5.0","","","","2261","","","[{""page_index"":0,""viewing_time"":2261}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","662376","0.0-6.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","15","666598","0.0-6.0-1.0","","","","","","","","","","","","","","","","693.0000000108785","284.01","4221.099999904633","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","666598","0.0-6.0-1.0","","","","","","","","","","reconstruct","","","","","","693.0000000108785","284.01","4221.099999904633","","","","","","","","","1","375","250","319.8135083246465","144.8526701184459","406.44805312950956","false"
"","","","","","html-keyboard-response","16","669609","0.0-6.0-0.1","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
"","","","","","html-keyboard-response","17","671947","0.0-6.0-1.1","","","","","","","","","","","","","","","","602.9900004265728","254.0000923649003","2336.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","671947","0.0-6.0-1.1","","","","","","","","","","reconstruct","","","","","","602.9900004265728","254.0000923649003","2336.5","","","","","","","","","6","625","350","98.49072213751882","154.2262307298703","83.09105041434204","true"
"","","","","","html-keyboard-response","18","674953","0.0-6.0-0.2","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","19","678330","0.0-6.0-1.2","","","","","","","","","","","","","","","","416.99999996677246","274.00999999999993","3376.0999999046326","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","678330","0.0-6.0-1.2","","","","","","","","","","reconstruct","","","","","","416.99999996677246","274.00999999999993","3376.0999999046326","","","","","","","","","6","625","350","221.44633687153794","331.1812681770825","110.7714324317712","true"
"","","","","","html-keyboard-response","20","681337","0.0-6.0-0.3","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","21","683763","0.0-6.0-1.3","","","","","","","","","","","","","","","","456","294.99","2426.2000000476837","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","683764","0.0-6.0-1.3","","","","","","","","","","reconstruct","","","","","","456","294.99","2426.2000000476837","","","","","","","","","5","625","250","174.88596313026383","316.9527289539887","153.5322659343695","true"
"","","","","","html-keyboard-response","22","686769","0.0-6.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","23","688896","0.0-6.0-1.4","","","","","","","","","","","","","","","","374.999999999995","291.01","2127.0999999046326","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","688896","0.0-6.0-1.4","","","","","","","","","","reconstruct","","","","","","374.999999999995","291.01","2127.0999999046326","","","","","","","","","4","500","350","138.22018702056965","86.1049548628805","178.67344219137715","false"
"","","","","","html-keyboard-response","24","691904","0.0-6.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","25","694096","0.0-6.0-1.5","","","","","","","","","","","","","","","","684.0069920711848","294.99285080839906","2191.2999999523163","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","694096","0.0-6.0-1.5","","","","","","","","","","reconstruct","","","","","","684.0069920711848","294.99285080839906","2191.2999999523163","","","","","","","","","5","625","250","74.2036504301218","289.4314067891538","333.5656221653789","false"
"","","","","","html-keyboard-response","26","697104","0.0-6.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","27","699112","0.0-6.0-1.6","","","","","","","","","","","","","","","","348.01","319.9999999999914","2007.3999998569489","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","699112","0.0-6.0-1.6","","","","","","","","","","reconstruct","","","","","","348.01","319.9999999999914","2007.3999998569489","","","","","","","","","3","500","250","167.33487412968884","83.32537063576497","132.35825094226465","false"
"","","","","","html-keyboard-response","28","702115","0.0-6.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","29","706012","0.0-6.0-1.7","","","","","","","","","","","","","","","","694.9900995739195","374.00999950423943","3896.800000190735","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","706012","0.0-6.0-1.7","","","","","","","","","","reconstruct","","","","","","694.9900995739195","374.00999950423943","3896.800000190735","","","","","","","","","2","375","350","320.88961326524804","20.176987413846014","338.953444921619","false"
"","","","","","html-keyboard-response","30","709023","0.0-6.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","650.0211431702996","404.58000000000004","11","","","","","","",""
"","","","","","html-keyboard-response","31","711829","0.0-6.0-1.8","","","","","","","","","","","","","","","","455.9999999554722","399.0099999999999","2805.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","711829","0.0-6.0-1.8","","","","","","","","","","reconstruct","","","","","","455.9999999554722","399.0099999999999","2805.5","","","","","","","","","6","625","350","175.9630078029197","60.04193539142985","194.10107911701206","false"
"","","","","","html-keyboard-response","32","714832","0.0-6.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","33","718079","0.0-6.0-1.9","","","","","","","","","","","","","","","","255.99999931106962","363.9900000000237","3247.300000190735","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","718079","0.0-6.0-1.9","","","","","","","","","","reconstruct","","","","","","255.99999931106962","363.9900000000237","3247.300000190735","","","","","","","","","2","375","350","119.81953206370862","137.19733396245016","254.9209712285596","false"
"","","","","","html-keyboard-response","34","721082","0.0-6.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","500","510.8711431702997","369.03","8","","","","","","",""
"","","","","","html-keyboard-response","35","724928","0.0-6.0-1.10","","","","","","","","","","","","","","","","650.9900000259203","392.98999447644695","3846.2000000476837","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","724928","0.0-6.0-1.10","","","","","","","","","","reconstruct","","","","","","650.9900000259203","392.98999447644695","3846.2000000476837","","","","","","","","","1","375","250","310.83213899898095","180.6352912539631","142.1526481703287","false"
"","","","","","html-keyboard-response","36","727931","0.0-6.0-0.11","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","37","729978","0.0-6.0-1.11","","","","","","","","","","","","","","","","693.9900000231273","374.0000215068807","2046.8999998569489","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","729978","0.0-6.0-1.11","","","","","","","","","","reconstruct","","","","","","693.9900000231273","374.0000215068807","2046.8999998569489","","","","","","","","","6","625","350","73.045336165438","268.69413695864046","337.95400679787366","false"
"","","","","","html-keyboard-response","38","732982","0.0-6.0-0.12","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","39","735611","0.0-6.0-1.12","","","","","","","","","","","","","","","","595.9900000000299","363.99999922707985","2628.7999999523163","","","","","","","","","","","","","","",""
