"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","193","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","28401","0.0-1.0","","","","28150","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32385","0.0-2.0","","","","3471","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","38462","0.0-3.0","","","","6069","","{""prolificID"":""LiuShuze""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","64301","0.0-4.0-0.0-0.0","","","","25838","","","[{""page_index"":0,""viewing_time"":5971},{""page_index"":1,""viewing_time"":3363},{""page_index"":2,""viewing_time"":4640},{""page_index"":3,""viewing_time"":11864}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","88997","0.0-4.0-0.0-1.0","","","","","","","","484.009053032987","299.0274407048932","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","88997","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","91761","0.0-4.0-0.0-2.0","","","","2763","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","94773","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","98358","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","396.01","331","3583.5999999046326","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","98358","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","396.01","331","3583.5999999046326","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","100873","0.0-4.0-0.0-5.0","","","","2514","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","10","107659","0.0-4.0-1.0-0.0","","","","6785","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","11","110141","0.0-4.0-1.0-1.0","","","","2481","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","12","112564","0.0-4.0-1.0-2.0","","","","2421","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","instructions","13","114978","0.0-5.0","","","","2412","","","[{""page_index"":0,""viewing_time"":2412}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","117995","0.0-6.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","15","122141","0.0-6.0-1.0","","","","","","","","","","","","","","","","298.0099878844081","291.0004921026838","4144.900000095367","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","122141","0.0-6.0-1.0","","","","","","","","","","reconstruct","","","","","","298.0099878844081","291.0004921026838","4144.900000095367","","","","","","","","","3","500","250","206.10920733222767","237.3594536728385","80.48286482167315","true"
"","","","","","html-keyboard-response","16","125158","0.0-6.0-0.1","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","17","127595","0.0-6.0-1.1","","","","","","","","","","","","","","","","638.9900000000077","279.000000394746","2436.699999809265","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","127595","0.0-6.0-1.1","","","","","","","","","","reconstruct","","","","","","638.9900000000077","279.000000394746","2436.699999809265","","","","","","","","","5","625","250","32.198138500470556","289.4314067891538","293.3694525470926","false"
"","","","","","html-keyboard-response","18","130604","0.0-6.0-0.2","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","510.8711431702997","369.03","8","","","","","","",""
