"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","88","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","3553","0.0-1.0","","","","3385","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6520","0.0-2.0","","","","2458","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","11142","0.0-3.0","","","","4615","","{""prolificID"":""ZZ""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","68836","0.0-4.0-0.0-0.0","","","","57692","","","[{""page_index"":0,""viewing_time"":24427},{""page_index"":1,""viewing_time"":12327},{""page_index"":2,""viewing_time"":10885},{""page_index"":3,""viewing_time"":10052}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","78824","0.0-4.0-0.0-1.0","","","","","","","","562.990000000028","297.9999992514791","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","78825","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","81550","0.0-4.0-0.0-2.0","","","","2724","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","84556","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","88383","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","455.00000099009685","320.990000000049","3826.699999988079","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","88384","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","455.00000099009685","320.990000000049","3826.699999988079","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","90759","0.0-4.0-0.0-5.0","","","","2374","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","10","102317","0.0-4.0-1.0-0.0","","","","11556","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","11","109090","0.0-4.0-1.0-1.0","","","","6769","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","12","114239","0.0-4.0-1.0-2.0","","","","5147","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","instructions","13","116630","0.0-5.0","","","","2386","","","[{""page_index"":0,""viewing_time"":2386}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
