"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","1840","0.0-1.0","","","","1816","consent.html","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","3214","0.0-2.0","","","","867","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","6681","0.0-3.0","","","","3464","","{""prolificID"":""test3""}","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","10701","0.0-4.0-0.0-0.0","","","","4019","","","[{""page_index"":0,""viewing_time"":1031},{""page_index"":1,""viewing_time"":969},{""page_index"":2,""viewing_time"":1067},{""page_index"":3,""viewing_time"":952}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","17055","0.0-4.0-0.0-1.0","","","","","","","","314.01","400","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","17055","0.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","18190","0.0-4.0-0.0-2.0","","","","1134","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","7","19791","0.0-4.0-1.0-0.0","","","","1599","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","8","21990","0.0-4.0-1.0-1.0","","","","2197","","{""checkBallHitObstacle"":""Yes.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","9","25780","0.0-4.0-1.0-2.0","","","","3788","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","27180","0.0-5.0","","","","1396","","","[{""page_index"":0,""viewing_time"":1396}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","30190","0.0-6.0-0.0","","","","null","","null","","","","","","false","500","479.92114317029973","330.87","6","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","12","33167","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","445.00999999995264","282.00000097297107","2976.699999988079","","","","","","",""
"","","","","","html-keyboard-response","12","33167","0.0-6.0-1.0","","","","","","","","","","","","","","","","","reconstruct","445.00999999995264","282.00000097297107","2976.699999988079","2","375","350","97.59815555464819","106.65084708600553","60.05884383138159","true"
"","","","","","html-button-response","13","34685","0.0-7.0","","","","1517","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","37688","0.0-8.0-0.0","","","","null","","null","","","","","","false","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","15","41057","0.0-8.0-1.0","","","","","","","","","","","","","","","","","","660.0071064066592","254.0070355514634","3368.800000011921","","","","","","",""
"","","","","","html-keyboard-response","15","41057","0.0-8.0-1.0","","","","","","","","","","","","","","","","","reconstruct","660.0071064066592","254.0070355514634","3368.800000011921","6","625","350","102.17703618027474","154.2262307298703","52.779132224127096","true"
"","","","","","html-button-response","16","42593","0.0-9.0","","","","1535","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","45595","0.0-10.0-0.0","","","","null","","null","","","","","","false","322.3","356.42114317029973","357.87","4","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","18","49663","0.0-10.0-1.0","","","","","","","","","","","","","","","","","","338.0001037817721","326.9900005385473","4068.300000011921","","","","","","",""
"","","","","","html-keyboard-response","18","49663","0.0-10.0-1.0","","","","","","","","","","","","","","","","","reconstruct","338.0001037817721","326.9900005385473","4068.300000011921","5","625","250","297.147102648165","289.4314067891538","35.95704463513382","false"
"","","","","","html-button-response","19","51181","0.0-11.0","","","","1517","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","54183","0.0-12.0-0.0","","","","null","","null","","","","","","true","500","479.92114317029973","330.87","6","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","21","58489","0.0-12.0-1.0","","","","","","","","","","","","","","","","","","492.00997440271175","260.99928495416685","4305.199999988079","","","","","","",""
"","","","","","html-keyboard-response","21","58489","0.0-12.0-1.0","","","","","","","","","","","","","","","","","reconstruct","492.00997440271175","260.99928495416685","4305.199999988079","5","625","250","133.44411256353854","166.09585063755407","70.90879114455241","true"
"","","","","","html-keyboard-response","22","61493","0.0-13.0-0.0","","","","null","","null","","","","","","true","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","23","64025","0.0-13.0-1.0","","","","","","","","","","","","","","","","","","302.0000698623547","289.9900002440404","2531.099999964237","","","","","","",""
"","","","","","html-keyboard-response","23","64025","0.0-13.0-1.0","","","","","","","","","","","","","","","","","reconstruct","302.0000698623547","289.9900002440404","2531.099999964237","3","500","250","201.99795160850218","174.4190816330545","376.11138428650014","false"
"","","","","","survey-text","24","67261","0.0-14.0","","","","3235","","{""Summary"":""test3""}","","","","","","","","","","","","","","","","","","","","",""
