"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","4062","0.0-1.0","","","","4017","consent.html","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8029","0.0-2.0","","","","3462","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","31159","0.0-3.0","","","","23117","","{""prolificID"":""cindytest725658""}","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","71158","0.0-4.0-0.0-0.0","","","","39996","","","[{""page_index"":0,""viewing_time"":16987},{""page_index"":1,""viewing_time"":3590},{""page_index"":2,""viewing_time"":11116},{""page_index"":3,""viewing_time"":8301}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","92053","0.0-4.0-0.0-1.0","","","","","","","","425.008924721178","285.9954889744077","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","92053","0.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","95092","0.0-4.0-0.0-2.0","","","","3034","","0","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","",""
"","","","","","instructions","7","101324","0.0-4.0-0.1-0.1","","","","6229","","","[{""page_index"":0,""viewing_time"":2726},{""page_index"":1,""viewing_time"":1084},{""page_index"":2,""viewing_time"":1151},{""page_index"":3,""viewing_time"":1267}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","105743","0.0-4.0-0.1-1.1","","","","","","","","465.00005147022875","382.9900001324601","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","105743","0.0-4.0-0.1-1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","107227","0.0-4.0-0.1-2.1","","","","1482","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","",""
