"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","752","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","25167","0.0-1.0","","","","24378","consent.html","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26872","0.0-2.0","","","","1199","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","30577","0.0-3.0","","","","3696","","{""prolificID"":""ccc""}","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","34982","0.0-4.0-0.0-0.0","","","","4404","","","[{""page_index"":0,""viewing_time"":851},{""page_index"":1,""viewing_time"":925},{""page_index"":2,""viewing_time"":1907},{""page_index"":3,""viewing_time"":720}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","37834","0.0-4.0-0.0-1.0","","","","","","","","351.009486051165","293.00316462214096","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","37834","0.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","38691","0.0-4.0-0.0-2.0","","","","855","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","7","39986","0.0-4.0-1.0-0.0","","","","1292","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","8","41940","0.0-4.0-1.0-1.0","","","","1937","","{""checkBallHitObstacle"":""Yes.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","9","44605","0.0-4.0-1.0-2.0","","","","2648","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
