"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","2068","0.0-1.0","","","","2026","consent.html","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","3775","0.0-2.0","","","","1202","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","7237","0.0-3.0","","","","3456","","{""prolificID"":""cindyaa""}","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","10600","0.0-4.0-0.0-0.0","","","","3363","","","[{""page_index"":0,""viewing_time"":913},{""page_index"":1,""viewing_time"":717},{""page_index"":2,""viewing_time"":870},{""page_index"":3,""viewing_time"":864}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","203617","0.0-4.0-0.0-1.0","","","","","","","","336.00832209468876","384.00554461360167","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","203617","0.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","204899","0.0-4.0-0.0-2.0","","","","1281","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","7","206246","0.0-4.0-1.0-0.0","","","","1344","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","8","208581","0.0-4.0-1.0-1.0","","","","2333","","{""checkBallHitObstacle"":""Yes.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","9","210564","0.0-4.0-1.0-2.0","","","","1981","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","211949","0.0-5.0","","","","1382","","","[{""page_index"":0,""viewing_time"":1382}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","214953","0.0-6.0-0.0","","","","null","","null","","","","","","false","500","510.8711431702997","369.03","8","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","12","217413","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","493.00999975349026","299.0000702149103","2459.699999988079","","","","","","",""
"","","","","","html-keyboard-response","12","217413","0.0-6.0-1.0","","","","","","","","","","","","","","","","","reconstruct","493.00999975349026","299.0000702149103","2459.699999988079","2","375","350","128.5587526382504","137.19733396245016","72.27178917019023","true"
"","","","","","html-button-response","13","218680","0.0-7.0","","","","1266","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","221683","0.0-8.0-0.0","","","","null","","null","","","","","","true","500","453.67114317029973","210.33","5","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","15","254047","0.0-8.0-1.0","","","","","","","","","","","","","","","","","","355.0099995000378","296.0000999949728","32363.30000001192","","","","","","",""
"","","","","","html-keyboard-response","15","254048","0.0-8.0-1.0","","","","","","","","","","","","","","","","","reconstruct","355.0099995000378","296.0000999949728","32363.30000001192","1","375","250","50.155850302192924","88.10708069004328","130.6651724962421","false"
"","","","","","html-button-response","16","255379","0.0-9.0","","","","1331","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","258381","0.0-10.0-0.0","","","","null","","null","","","","","","true","500","510.8711431702997","369.03","8","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","18","263064","0.0-10.0-1.0","","","","","","","","","","","","","","","","","","280.0000313026626","391.00999995100705","4682.600000023842","","","","","","",""
"","","","","","html-keyboard-response","18","263064","0.0-10.0-1.0","","","","","","","","","","","","","","","","","reconstruct","280.0000313026626","391.00999995100705","4682.600000023842","3","500","250","261.3117033602063","119.5254058927605","231.91505059578452","false"
"","","","","","html-button-response","19","264163","0.0-11.0","","","","1097","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","267164","0.0-12.0-0.0","","","","null","","null","","","","","","false","322.3","379.3711431702997","245.25","1","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","21","269481","0.0-12.0-1.0","","","","","","","","","","","","","","","","","","321.00999950013176","292.00009998557476","2317","","","","","","",""
"","","","","","html-keyboard-response","21","269481","0.0-12.0-1.0","","","","","","","","","","","","","","","","","reconstruct","321.00999950013176","292.00009998557476","2317","2","375","350","79.2395643328451","104.84116268248488","74.77696797243938","true"
"","","","","","html-keyboard-response","22","272486","0.0-13.0-0.0","","","","null","","null","","","","","","false","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","23","275314","0.0-13.0-1.0","","","","","","","","","","","","","","","","","","586.0044665424599","285.008947066472","2827.7999999523163","","","","","","",""
"","","","","","html-keyboard-response","23","275314","0.0-13.0-1.0","","","","","","","","","","","","","","","","","reconstruct","586.0044665424599","285.008947066472","2827.7999999523163","5","625","250","52.4049425564151","147.21237239629613","110.02897497217118","true"
"","","","","","survey-text","24","279580","0.0-14.0","","","","4263","","{""Summary"":""dddd""}","","","","","","","","","","","","","","","","","","","","",""
