"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","6935","0.0-1.0","","","","6897","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","9004","0.0-2.0","","","","1566","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","12537","0.0-3.0","","","","3527","","{""prolificID"":""cindytest""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","19349","0.0-4.0-0.0-0.0","","","","6812","","","[{""page_index"":0,""viewing_time"":2731},{""page_index"":1,""viewing_time"":968},{""page_index"":2,""viewing_time"":1921},{""page_index"":3,""viewing_time"":1192}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","24005","0.0-4.0-0.0-1.0","","","","","","","","417.01","401","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","24005","0.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","25435","0.0-4.0-0.0-2.0","","","","1429","","0","","","","<p>To help you get comfortable with the task, let's start with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to where you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start the practice trial.</p>","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","28436","0.0-4.0-0.0-3.0","","","","null","","null","","","","","400","50","420","415","fallScene_practiceTrial_withOccluder","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","37266","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","306.9900009500094","380.0100702126787","8828.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","37266","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","38583","0.0-4.0-0.0-5.0","","","","1316","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","","",""
