"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","74314","0.0-1.0","","","","74273","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","83469","0.0-2.0","","","","8646","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","89082","0.0-3.0","","","","5607","","{""prolificID"":""testtest""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","107648","0.0-4.0-0.0-0.0","","","","18565","","","[{""page_index"":0,""viewing_time"":4116},{""page_index"":1,""viewing_time"":1730},{""page_index"":2,""viewing_time"":5798},{""page_index"":3,""viewing_time"":6920}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","114497","0.0-4.0-0.0-1.0","","","","","","","","339.0000747048527","393.00999972095536","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","114497","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","122195","0.0-4.0-0.0-2.0","","","","7696","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","125199","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","128997","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","376.99999999000136","379.01","3797.100000023842","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","128997","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","376.99999999000136","379.01","3797.100000023842","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","132112","0.0-4.0-0.0-5.0","","","","3113","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","10","134162","0.0-4.0-1.0-0.0","","","","2047","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","11","136896","0.0-4.0-1.0-1.0","","","","2730","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
