"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","286","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","104239","0.0-1.0","","","","103684","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","106539","0.0-2.0","","","","1797","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","111773","0.0-3.0","","","","5226","","{""prolificID"":""tomer_test""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","172905","0.0-4.0-0.0-0.0","","","","61133","","","[{""page_index"":0,""viewing_time"":30563},{""page_index"":1,""viewing_time"":8934},{""page_index"":2,""viewing_time"":8082},{""page_index"":3,""viewing_time"":13551}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","183052","0.0-4.0-0.0-1.0","","","","","","","","821.9999953620653","334.99000000107554","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","183052","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","192803","0.0-4.0-0.0-2.0","","","","9748","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","195810","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","205985","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","390.99292871130405","361.0070708469209","10174.300000011921","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","205985","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","390.99292871130405","361.0070708469209","10174.300000011921","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","211001","0.0-4.0-0.0-5.0","","","","5015","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","10","220684","0.0-4.0-1.0-0.0","","","","9680","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","11","226017","0.0-4.0-1.0-1.0","","","","5331","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","survey-multi-choice","12","232768","0.0-4.0-1.0-2.0","","","","6749","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
"","","","","","instructions","13","241235","0.0-5.0","","","","8463","","","[{""page_index"":0,""viewing_time"":8462}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","244247","0.0-6.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","15","248750","0.0-6.0-1.0","","","","","","","","","","","","","","","","689.0000999949235","245.00999950003828","4501.799999952316","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","248750","0.0-6.0-1.0","","","","","","","","","","reconstruct","","","","","","689.0000999949235","245.00999950003828","4501.799999952316","","","","","","","","","1","375","250","314.03974732796416","67.04180767648283","381.0324455428637","false"
"","","","","","html-button-response","16","251751","0.0-7.0","","","","2998","","0","","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","254760","0.0-8.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
