"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","95476","0.0-1.0","","","","95451","consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","101020","0.0-2.0","","","","5036","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","111640","0.0-3.0","","","","10616","","{""prolificID"":""cindytest72trial_0""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","161231","0.0-4.0-0.0-0.0","","","","49589","","","[{""page_index"":0,""viewing_time"":12475},{""page_index"":1,""viewing_time"":2286},{""page_index"":2,""viewing_time"":10992},{""page_index"":3,""viewing_time"":11243},{""page_index"":2,""viewing_time"":5338},{""page_index"":3,""viewing_time"":7256}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","169538","0.0-4.0-0.0-1.0","","","","","","","","375.00152436699534","284.9901168676391","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","169538","0.0-4.0-0.0-1.0","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","175812","0.0-4.0-0.0-2.0","","","","6273","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","178814","0.0-4.0-0.0-3.0","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","185370","0.0-4.0-0.0-4.0","","","","","","","","","","","","","","","","418.99","393.000000000008","6554.700000047684","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","185370","0.0-4.0-0.0-4.0","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","418.99","393.000000000008","6554.700000047684","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","9","191875","0.0-4.0-0.0-5.0","","","","6504","","0","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","195477","0.0-4.0-0.1-0.1","","","","3600","","","[{""page_index"":0,""viewing_time"":997},{""page_index"":1,""viewing_time"":784},{""page_index"":2,""viewing_time"":1001},{""page_index"":3,""viewing_time"":818}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","201547","0.0-4.0-0.1-1.1","","","","","","","","434.0078801377111","357.0061565761308","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","201547","0.0-4.0-0.1-1.1","","","","","","","","","","practiceTrial_move","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","202732","0.0-4.0-0.1-2.1","","","","1185","","0","","","","","<p>To help you get more comfortable with the task, let's begin with a practice trial first!</p><p>As described previously, you will first see a video of a ball falling, some of it behind a gray screen.</p><p>After the video, you will drag a triangle to the spot you think the ball hit the triangle behind the screen.</p><p>Click 'Next' to start your practice trial.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","205735","0.0-4.0-0.1-3.1","","","","null","","null","","","","fallScene_practiceTrial_withOccluder","","400","50","420","415","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","213341","0.0-4.0-0.1-4.1","","","","","","","","","","","","","","","","358.99990000499963","396.0099995000375","7605.099999964237","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","213341","0.0-4.0-0.1-4.1","","","","","","","","","","reconstruct_practiceTrial_withOccluder","","","","","","358.99990000499963","396.0099995000375","7605.099999964237","500","300","","","","","","","","","","","","",""
"","","","","","html-button-response","15","214778","0.0-4.0-0.1-5.1","","","","1436","","1","","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","16","217478","0.0-4.0-1.0-0.0","","","","2699","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","","","","","","","","","","","[0]","","","","","","","","","","","",""
