"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"true","false","[]","[]","[]","preload","0","892","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","1","1907","0.0-1.0","","","","1440","820","true","safari","16.3.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","9928","0.0-2.0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8019}]","8019","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","12934","0.0-3.0-0.0","","","","","","","","","","","","","","","","null","","null","false","500","510.8711431702997","369.03","8","fallScene","","","","","",""
"","","","","","html-keyboard-response","4","13831","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","375","250","895","","",""
"","","","","","html-keyboard-response","4","13831","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","895","1","375","250"
"","","","","","html-keyboard-response","5","16834","0.0-3.0-0.1","","","","","","","","","","","","","","","","null","","null","false","500","510.8711431702997","369.03","8","fallScene","","","","","",""
"","","","","","html-keyboard-response","6","17347","0.0-3.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","","625","250","512.0000000000036","","",""
"","","","","","html-keyboard-response","6","17347","0.0-3.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","512.0000000000036","5","625","250"
"","","","","","html-keyboard-response","7","20350","0.0-3.0-0.2","","","","","","","","","","","","","","","","null","","null","true","500","479.92114317029973","330.87","6","fallScene","","","","","",""
"","","","","","html-keyboard-response","8","20778","0.0-3.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","","375","250","426","","",""
"","","","","","html-keyboard-response","8","20778","0.0-3.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","426","1","375","250"
"","","","","","html-keyboard-response","9","23781","0.0-3.0-0.3","","","","","","","","","","","","","","","","null","","null","false","500","479.92114317029973","330.87","6","fallScene","","","","","",""
"","","","","","html-keyboard-response","10","24180","0.0-3.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","","625","350","398","","",""
