"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","stimulus","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_cate","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"true","false","[]","[]","[]","preload","0","5","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","external-html","1","4218","0.0-1.0","","","","4188","consent.html","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6109","0.0-2.0","","","","1387","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","11734","0.0-3.0","","","","5625","","{""prolificID"":""test2""}","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","15789","0.0-4.0-0.0-0.0","","","","4056","","","[{""page_index"":0,""viewing_time"":967},{""page_index"":1,""viewing_time"":700},{""page_index"":2,""viewing_time"":1368},{""page_index"":3,""viewing_time"":1021}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","20305","0.0-4.0-0.0-1.0","","","","","","","","395.0099993573817","403.9998866335452","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","20305","0.0-4.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","21806","0.0-4.0-0.0-2.0","","","","1500","","1","","","","<p>Ok! We're almost ready to get started.</p><p>We just have a <b>brief quiz</b>, to make sure you understood the task.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","7","23392","0.0-4.0-1.0-0.0","","","","1586","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, drag a triangle to where I think the ball hit the triangle behind the screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","8","25427","0.0-4.0-1.0-1.0","","","","2033","","{""checkBallHitObstacle"":""Yes.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","9","27742","0.0-4.0-1.0-2.0","","","","2314","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","[0]","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","29276","0.0-5.0","","","","1532","","","[{""page_index"":0,""viewing_time"":1532}]","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","32280","0.0-6.0-0.0","","","","null","","null","","","","","","true","322.3","296.07114317029976","371.46","3","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","12","37149","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","673.9999002923903","368.0199995023954","4868.5","","","","","","",""
"","","","","","html-keyboard-response","12","37149","0.0-6.0-1.0","","","","","","","","","","","","","","","","","reconstruct","673.9999002923903","368.0199995023954","4868.5","5","625","250","127.78775571708584","350.6375970361613","377.94441266312117","false"
"","","","","","html-button-response","13","38416","0.0-7.0","","","","1267","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","41418","0.0-8.0-0.0","","","","null","","null","","","","","","false","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","15","44356","0.0-8.0-1.0","","","","","","","","","","","","","","","","","","667.0006566777774","390.9900215845799","2937.600000023842","","","","","","",""
"","","","","","html-keyboard-response","15","44356","0.0-8.0-1.0","","","","","","","","","","","","","","","","","reconstruct","667.0006566777774","390.9900215845799","2937.600000023842","1","375","250","324.2569500977174","315.4863001632535","21.74836527838832","false"
"","","","","","html-button-response","16","45604","0.0-9.0","","","","1247","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are halfway done! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","48605","0.0-10.0-0.0","","","","null","","null","","","","","","false","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","18","51192","0.0-10.0-1.0","","","","","","","","","","","","","","","","","","546.007035451281","271.0071065058413","2587.699999988079","","","","","","",""
"","","","","","html-keyboard-response","18","51192","0.0-10.0-1.0","","","","","","","","","","","","","","","","","reconstruct","546.007035451281","271.0071065058413","2587.699999988079","3","500","250","50.576138986316344","173.96628517940113","133.55767367550084","true"
"","","","","","html-button-response","19","52442","0.0-11.0","","","","1249","","0","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are almost done! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","55444","0.0-12.0-0.0","","","","null","","null","","","","","","false","500","453.67114317029973","210.33","5","fallScene","","","","","","","","","",""
"","","","","","html-keyboard-response","21","57863","0.0-12.0-1.0","","","","","","","","","","","","","","","","","","447.99808907292964","255.00981571992938","2418.899999976158","","","","","","",""
"","","","","","html-keyboard-response","21","57863","0.0-12.0-1.0","","","","","","","","","","","","","","","","","reconstruct","447.99808907292964","255.00981571992938","2418.899999976158","4","500","350","108.29281531860151","147.15322584009792","45.03853323054088","true"
